bank_receipt_id,bank_account_id,bank_date,receipt_amount,currency,fx_rate_to_usd,legal_entity,bank_reference,source_bank_file,matched_status,created_at
BR-000044,BANK-ACM-01,2026-03-25,2021.5,USD,1.0,Acme US Inc,WIRE282537,bank_2026-03.csv,matched,2026-03-25
BR-000045,BANK-ACM-01,2026-05-01,3519.56,USD,1.0,Acme US Inc,WIRE445847,bank_2026-05.csv,matched,2026-05-01
BR-000046,BANK-ACM-01,2025-10-29,1614.88,EUR,1.08,Acme US Inc,WIRE853975,bank_2025-10.csv,matched,2025-10-29
BR-000047,BANK-ACM-01,2026-03-06,1793.51,USD,1.0,Acme US Inc,WIRE897109,bank_2026-03.csv,matched,2026-03-06
BR-000048,BANK-ACM-01,2025-10-03,4500.0,USD,1.0,Acme US Inc,WIRE555474,bank_2025-10.csv,matched,2025-10-03
BR-000049,BANK-ACM-01,2025-09-04,581.21,USD,1.0,Acme US Inc,WIRE496067,bank_2025-09.csv,matched,2025-09-04
BR-000050,BANK-ACM-01,2025-10-03,599.62,USD,1.0,Acme US Inc,WIRE652843,bank_2025-10.csv,unmatched,2025-10-03
BR-000051,BANK-ACM-01,2025-11-30,540.68,USD,1.0,Acme US Inc,WIRE163045,bank_2025-11.csv,matched,2025-11-30
BR-000052,BANK-ACM-01,2026-04-29,429.8,USD,1.0,Acme US Inc,WIRE852443,bank_2026-04.csv,matched,2026-04-29
BR-000053,BANK-ACM-01,2026-05-31,335.71,USD,1.0,Acme US Inc,WIRE118142,bank_2026-05.csv,matched,2026-05-31
BR-000054,BANK-ACM-01,2025-12-11,70873000.0,ARS,0.0011,Acme Argentina SA,WIRE362016,bank_2025-12.csv,matched,2025-12-11
BR-000055,BANK-ACM-01,2026-03-26,17182774.82,ARS,0.0011,Acme Argentina SA,WIRE651046,bank_2026-03.csv,matched,2026-03-26
BR-000056,BANK-ACM-01,2026-05-10,17004664.76,ARS,0.0011,Acme Argentina SA,WIRE137926,bank_2026-05.csv,matched,2026-05-10
BR-000057,BANK-ACM-01,2026-05-31,15704925.69,ARS,0.0011,Acme Argentina SA,WIRE924858,bank_2026-05.csv,matched,2026-05-31
BR-000058,BANK-ACM-01,2026-01-04,222592.6,EUR,1.08,Acme EU GmbH,WIRE680813,bank_2026-01.csv,matched,2026-01-04
BR-000059,BANK-ACM-01,2026-01-27,222592.6,EUR,1.08,Acme EU GmbH,WIRE342241,bank_2026-01.csv,matched,2026-01-27
BR-000060,BANK-ACM-01,2026-03-06,222592.6,EUR,1.08,Acme EU GmbH,WIRE924987,bank_2026-03.csv,matched,2026-03-06
BR-000061,BANK-ACM-01,2026-04-07,222592.6,USD,1.0,Acme EU GmbH,WIRE926732,bank_2026-04.csv,matched,2026-04-07
BR-000062,BANK-ACM-01,2026-05-15,222592.6,EUR,1.08,Acme EU GmbH,WIRE261417,bank_2026-05.csv,matched,2026-05-15
BR-000063,BANK-ACM-01,2025-09-14,2519.5,USD,1.0,Acme US Inc,WIRE380992,bank_2025-09.csv,matched,2025-09-14
BR-000064,BANK-ACM-01,2025-11-08,2651.02,USD,1.0,Acme US Inc,WIRE891972,bank_2025-11.csv,matched,2025-11-08
BR-000065,BANK-ACM-01,2025-10-28,2520.61,USD,1.0,Acme US Inc,WIRE649208,bank_2025-10.csv,unmatched,2025-10-28
BR-000066,BANK-ACM-01,2026-01-03,3399.93,USD,1.0,Acme US Inc,WIRE160784,bank_2026-01.csv,matched,2026-01-03
BR-000067,BANK-ACM-01,2026-01-30,4197.5,USD,1.0,Acme US Inc,WIRE134609,bank_2026-01.csv,matched,2026-01-30
BR-000068,BANK-ACM-01,2026-03-03,4543.79,USD,1.0,Acme US Inc,WIRE840022,bank_2026-03.csv,matched,2026-03-03
BR-000069,BANK-ACM-01,2026-03-31,4213.93,USD,1.0,Acme US Inc,WIRE414597,bank_2026-03.csv,matched,2026-03-31
BR-000070,BANK-ACM-01,2026-03-15,1891.67,USD,1.0,Acme US Inc,WIRE769225,bank_2026-03.csv,matched,2026-03-15
BR-000071,BANK-ACM-01,2026-03-27,1891.67,USD,1.0,Acme US Inc,WIRE888766,bank_2026-03.csv,matched,2026-03-27
BR-000072,BANK-ACM-01,2026-05-02,1978.24,USD,1.0,Acme US Inc,WIRE747028,bank_2026-05.csv,matched,2026-05-02
BR-000073,BANK-ACM-01,2025-04-18,155200.0,USD,1.0,Acme US Inc,WIRE459757,bank_2025-04.csv,matched,2025-04-18
BR-000074,BANK-ACM-01,2025-10-04,72087.02,EUR,1.08,Acme EU GmbH,WIRE532405,bank_2025-10.csv,matched,2025-10-04
BR-000075,BANK-ACM-01,2026-04-20,24111.11,EUR,1.08,Acme EU GmbH,WIRE504304,bank_2026-04.csv,matched,2026-04-20
BR-000076,BANK-ACM-01,2026-04-27,24111.11,USD,1.0,Acme EU GmbH,WIRE405154,bank_2026-04.csv,matched,2026-04-27
BR-000077,BANK-ACM-01,2026-01-01,74400.0,USD,1.0,Acme US Inc,WIRE581357,bank_2026-01.csv,matched,2026-01-01
BR-000078,BANK-ACM-01,2025-05-29,46313.48,USD,1.0,Acme US Inc,WIRE358499,bank_2025-05.csv,matched,2025-05-29
BR-000079,BANK-ACM-01,2025-07-05,37650.0,USD,1.0,Acme US Inc,WIRE255370,bank_2025-07.csv,matched,2025-07-05
BR-000080,BANK-ACM-01,2025-07-11,42271.88,USD,1.0,Acme US Inc,WIRE692193,bank_2025-07.csv,unmatched,2025-07-11
BR-000081,BANK-ACM-01,2026-05-15,17511.01,USD,1.0,Acme US Inc,WIRE643035,bank_2026-05.csv,matched,2026-05-15
BR-000082,BANK-ACM-01,2026-05-27,253500.0,USD,1.0,Acme US Inc,WIRE752999,bank_2026-05.csv,matched,2026-05-27
BR-000083,BANK-ACM-01,2025-11-05,275200.0,USD,1.0,Acme US Inc,WIRE788568,bank_2025-11.csv,matched,2025-11-05
BR-000084,BANK-ACM-01,2026-05-13,12191.67,USD,1.0,Acme US Inc,WIRE895943,bank_2026-05.csv,matched,2026-05-13
BR-000085,BANK-ACM-01,2026-05-31,2796.28,USD,1.0,Acme US Inc,WIRE991321,bank_2026-05.csv,matched,2026-05-31
BR-000086,BANK-ACM-01,2026-05-26,201369.93,MXN,0.058,Acme Mexico SA,WIRE781682,bank_2026-05.csv,matched,2026-05-26
BR-000087,BANK-ACM-01,2025-12-26,1321000.0,MXN,0.058,Acme Mexico SA,WIRE964975,bank_2025-12.csv,matched,2025-12-26
BR-000088,BANK-ACM-01,2026-04-03,397800.0,BRL,0.2,Acme Brasil Ltda,WIRE576734,bank_2026-04.csv,matched,2026-04-03
BR-000089,BANK-ACM-01,2026-05-31,397800.0,BRL,0.2,Acme Brasil Ltda,WIRE216059,bank_2026-05.csv,matched,2026-05-31
BR-000090,BANK-ACM-01,2026-05-31,2861.11,USD,1.0,Acme US Inc,WIRE323806,bank_2026-05.csv,matched,2026-05-31
BR-000091,BANK-ACM-01,2026-04-13,35451.93,USD,1.0,Acme US Inc,WIRE407762,bank_2026-04.csv,matched,2026-04-13
BR-000092,BANK-ACM-01,2025-12-30,372294.64,USD,1.0,Acme US Inc,WIRE147638,bank_2025-12.csv,matched,2025-12-30
BR-000093,BANK-ACM-01,2025-05-04,196300.0,USD,1.0,Acme US Inc,WIRE514352,bank_2025-05.csv,matched,2025-05-04
BR-000094,BANK-ACM-01,2025-06-05,146714.23,USD,1.0,Acme US Inc,WIRE496731,bank_2025-06.csv,matched,2025-06-05
BR-000095,BANK-ACM-01,2026-04-14,195733.55,USD,1.0,Acme US Inc,WIRE712944,bank_2026-04.csv,unmatched,2026-04-14
BR-000096,BANK-ACM-01,2026-04-28,232066.67,USD,1.0,Acme US Inc,WIRE810693,bank_2026-04.csv,matched,2026-04-28
BR-000097,BANK-ACM-01,2026-05-01,2466.67,USD,1.0,Acme US Inc,WIRE557148,bank_2026-05.csv,matched,2026-05-01
BR-000098,BANK-ACM-01,2025-06-02,4900.0,USD,1.0,Acme US Inc,WIRE248862,bank_2025-06.csv,matched,2025-06-02
BR-000099,BANK-ACM-01,2025-11-01,814.81,EUR,1.08,Acme EU GmbH,WIRE585575,bank_2025-11.csv,matched,2025-11-01
BR-000100,BANK-ACM-01,2025-09-22,505166.66,EUR,1.08,Acme EU GmbH,WIRE174164,bank_2025-09.csv,matched,2025-09-22
BR-000101,BANK-ACM-01,2025-11-07,505166.66,EUR,1.08,Acme EU GmbH,WIRE238651,bank_2025-11.csv,matched,2025-11-07
BR-000102,BANK-ACM-01,2026-01-03,112400.0,USD,1.0,Acme US Inc,WIRE121939,bank_2026-01.csv,matched,2026-01-03
BR-000103,BANK-ACM-01,2025-10-03,22700.0,USD,1.0,Acme US Inc,WIRE274143,bank_2025-10.csv,matched,2025-10-03
BR-000104,BANK-ACM-01,2025-11-08,20900.0,USD,1.0,Acme US Inc,WIRE143700,bank_2025-11.csv,matched,2025-11-08
BR-000105,BANK-ACM-01,2026-05-03,3021.7,GBP,1.27,Acme UK Ltd,WIRE409451,bank_2026-05.csv,matched,2026-05-03
BR-000106,BANK-ACM-01,2026-05-12,2340.28,GBP,1.27,Acme UK Ltd,WIRE432307,bank_2026-05.csv,matched,2026-05-12
BR-000107,BANK-ACM-01,2026-05-28,2336.2,GBP,1.27,Acme UK Ltd,WIRE835076,bank_2026-05.csv,matched,2026-05-28
BR-000108,BANK-ACM-01,2025-09-17,8362.21,GBP,1.27,Acme UK Ltd,WIRE715876,bank_2025-09.csv,matched,2025-09-17
BR-000109,BANK-ACM-01,2025-10-20,8362.21,GBP,1.27,Acme UK Ltd,WIRE482769,bank_2025-10.csv,matched,2025-10-20
BR-000110,BANK-ACM-01,2026-04-21,25166.66,EUR,1.08,Acme EU GmbH,WIRE850910,bank_2026-04.csv,unmatched,2026-04-21
BR-000111,BANK-ACM-01,2026-04-23,24139.23,USD,1.0,Acme US Inc,WIRE593346,bank_2026-04.csv,matched,2026-04-23
BR-000112,BANK-ACM-01,2026-05-31,20292.7,USD,1.0,Acme US Inc,WIRE980474,bank_2026-05.csv,matched,2026-05-31
BR-000113,BANK-ACM-01,2025-11-16,517871.25,BRL,0.2,Acme Brasil Ltda,WIRE519934,bank_2025-11.csv,matched,2025-11-16
BR-000114,BANK-ACM-01,2026-05-31,517871.25,BRL,0.2,Acme Brasil Ltda,WIRE970348,bank_2026-05.csv,matched,2026-05-31
BR-000115,BANK-ACM-01,2025-11-13,743535.0,BRL,0.2,Acme Brasil Ltda,WIRE506582,bank_2025-11.csv,matched,2025-11-13
BR-000116,BANK-ACM-01,2026-05-31,1264.91,USD,1.0,Acme US Inc,WIRE472544,bank_2026-05.csv,matched,2026-05-31
BR-000117,BANK-ACM-01,2025-06-28,1241.67,USD,1.0,Acme US Inc,WIRE139031,bank_2025-06.csv,matched,2025-06-28
BR-000118,BANK-ACM-01,2025-08-12,1241.67,USD,1.0,Acme US Inc,WIRE116494,bank_2025-08.csv,matched,2025-08-12
BR-000119,BANK-ACM-01,2025-08-24,1241.67,USD,1.0,Acme US Inc,WIRE805799,bank_2025-08.csv,matched,2025-08-24
BR-000120,BANK-ACM-01,2025-11-15,1241.67,USD,1.0,Acme US Inc,WIRE611893,bank_2025-11.csv,matched,2025-11-15
BR-000121,BANK-ACM-01,2025-12-03,1241.67,USD,1.0,Acme US Inc,WIRE971694,bank_2025-12.csv,matched,2025-12-03
BR-000122,BANK-ACM-01,2026-02-07,928.76,USD,1.0,Acme US Inc,WIRE600979,bank_2026-02.csv,matched,2026-02-07
BR-000123,BANK-ACM-01,2026-02-03,1241.67,USD,1.0,Acme US Inc,WIRE942932,bank_2026-02.csv,matched,2026-02-03
BR-000124,BANK-ACM-01,2026-03-16,1241.67,USD,1.0,Acme US Inc,WIRE598661,bank_2026-03.csv,matched,2026-03-16
BR-000125,BANK-ACM-01,2026-05-07,1241.67,USD,1.0,Acme US Inc,WIRE871886,bank_2026-05.csv,unmatched,2026-05-07
BR-000126,BANK-ACM-01,2026-05-31,1241.67,USD,1.0,Acme US Inc,WIRE451063,bank_2026-05.csv,matched,2026-05-31
BR-000127,BANK-ACM-01,2026-01-07,59816.62,GBP,1.27,Acme UK Ltd,WIRE806396,bank_2026-01.csv,matched,2026-01-07
BR-000128,BANK-ACM-01,2025-12-25,90204.72,GBP,1.27,Acme UK Ltd,WIRE829024,bank_2025-12.csv,matched,2025-12-25
BR-000129,BANK-ACM-01,2026-01-31,90204.72,GBP,1.27,Acme UK Ltd,WIRE499711,bank_2026-01.csv,matched,2026-01-31
BR-000130,BANK-ACM-01,2025-07-22,318000.0,USD,1.0,Acme US Inc,WIRE734039,bank_2025-07.csv,matched,2025-07-22
BR-000131,BANK-ACM-01,2025-07-29,191100.0,USD,1.0,Acme US Inc,WIRE397639,bank_2025-07.csv,matched,2025-07-29
BR-000132,BANK-ACM-01,2026-03-01,50999.03,EUR,1.08,Acme EU GmbH,WIRE933117,bank_2026-03.csv,matched,2026-03-01
BR-000133,BANK-ACM-01,2026-03-20,8311.73,EUR,1.08,Acme EU GmbH,WIRE858058,bank_2026-03.csv,matched,2026-03-20
BR-000134,BANK-ACM-01,2026-03-27,8068.04,EUR,1.08,Acme EU GmbH,WIRE889593,bank_2026-03.csv,matched,2026-03-27
BR-000135,BANK-ACM-01,2026-05-31,9485.28,EUR,1.08,Acme EU GmbH,WIRE223649,bank_2026-05.csv,matched,2026-05-31
BR-000136,BANK-ACM-01,2025-06-23,8666.66,EUR,1.08,Acme EU GmbH,WIRE736633,bank_2025-06.csv,matched,2025-06-23
BR-000137,BANK-ACM-01,2025-08-25,4900.0,USD,1.0,Acme US Inc,WIRE481718,bank_2025-08.csv,matched,2025-08-25
BR-000138,BANK-ACM-01,2025-09-21,4900.0,USD,1.0,Acme US Inc,WIRE549702,bank_2025-09.csv,matched,2025-09-21
BR-000139,BANK-ACM-01,2025-07-04,17607.57,USD,1.0,Acme US Inc,WIRE349260,bank_2025-07.csv,matched,2025-07-04
BR-000140,BANK-ACM-01,2025-09-04,18015.97,USD,1.0,Acme US Inc,WIRE349861,bank_2025-09.csv,unmatched,2025-09-04
BR-000141,BANK-ACM-01,2025-12-18,19943.36,USD,1.0,Acme US Inc,WIRE745534,bank_2025-12.csv,matched,2025-12-18
BR-000142,BANK-ACM-01,2026-04-01,19678.0,USD,1.0,Acme US Inc,WIRE781742,bank_2026-04.csv,matched,2026-04-01
BR-000143,BANK-ACM-01,2025-10-14,8425.0,USD,1.0,Acme US Inc,WIRE727868,bank_2025-10.csv,matched,2025-10-14
BR-000144,BANK-ACM-01,2025-11-17,8425.0,USD,1.0,Acme US Inc,WIRE977765,bank_2025-11.csv,matched,2025-11-17
BR-000145,BANK-ACM-01,2026-01-03,8425.0,USD,1.0,Acme US Inc,WIRE714044,bank_2026-01.csv,matched,2026-01-03
BR-000146,BANK-ACM-01,2025-12-31,8425.0,USD,1.0,Acme US Inc,WIRE393882,bank_2025-12.csv,matched,2025-12-31
BR-000147,BANK-ACM-01,2026-02-12,8425.0,USD,1.0,Acme US Inc,WIRE122337,bank_2026-02.csv,matched,2026-02-12
BR-000148,BANK-ACM-01,2026-05-05,6266.3,USD,1.0,Acme US Inc,WIRE334138,bank_2026-05.csv,matched,2026-05-05
BR-000149,BANK-ACM-01,2026-05-31,8425.0,USD,1.0,Acme US Inc,WIRE504688,bank_2026-05.csv,matched,2026-05-31
BR-000150,BANK-ACM-01,2025-10-19,303023.63,GBP,1.27,Acme UK Ltd,WIRE509427,bank_2025-10.csv,matched,2025-10-19
BR-000151,BANK-ACM-01,2026-05-10,108094.49,GBP,1.27,Acme UK Ltd,WIRE480394,bank_2026-05.csv,matched,2026-05-10
BR-000152,BANK-ACM-01,2025-05-13,1466.67,USD,1.0,Acme US Inc,WIRE484309,bank_2025-05.csv,matched,2025-05-13
BR-000153,BANK-ACM-01,2025-06-03,1466.67,USD,1.0,Acme US Inc,WIRE531987,bank_2025-06.csv,matched,2025-06-03
BR-000154,BANK-ACM-01,2025-06-05,3900.0,USD,1.0,Acme US Inc,WIRE163573,bank_2025-06.csv,matched,2025-06-05
BR-000155,BANK-ACM-01,2025-05-27,3900.0,USD,1.0,Acme US Inc,WIRE929000,bank_2025-05.csv,unmatched,2025-05-27
BR-000156,BANK-ACM-01,2025-08-26,103842.52,GBP,1.27,Acme UK Ltd,WIRE773427,bank_2025-08.csv,matched,2025-08-26
BR-000157,BANK-ACM-01,2025-04-02,179331.02,USD,1.0,Acme US Inc,WIRE948356,bank_2025-04.csv,matched,2025-04-02
BR-000158,BANK-ACM-01,2025-07-10,24600.0,USD,1.0,Acme US Inc,WIRE230382,bank_2025-07.csv,matched,2025-07-10
BR-000159,BANK-ACM-01,2025-08-04,6866.67,USD,1.0,Acme US Inc,WIRE624958,bank_2025-08.csv,matched,2025-08-04
BR-000160,BANK-ACM-01,2025-09-09,6866.67,USD,1.0,Acme US Inc,WIRE788263,bank_2025-09.csv,matched,2025-09-09
BR-000161,BANK-ACM-01,2025-08-24,6866.67,USD,1.0,Acme US Inc,WIRE894150,bank_2025-08.csv,matched,2025-08-24
BR-000162,BANK-ACM-01,2025-10-31,2883.33,USD,1.0,Acme US Inc,WIRE394622,bank_2025-10.csv,matched,2025-10-31
BR-000163,BANK-ACM-01,2025-11-28,2883.33,USD,1.0,Acme US Inc,WIRE154646,bank_2025-11.csv,matched,2025-11-28
BR-000164,BANK-ACM-01,2025-12-10,2883.33,USD,1.0,Acme US Inc,WIRE730996,bank_2025-12.csv,matched,2025-12-10
BR-000165,BANK-ACM-01,2026-01-17,1783.49,USD,1.0,Acme US Inc,WIRE878379,bank_2026-01.csv,matched,2026-01-17
BR-000166,BANK-ACM-01,2026-03-06,2883.33,USD,1.0,Acme US Inc,WIRE493798,bank_2026-03.csv,matched,2026-03-06
BR-000167,BANK-ACM-01,2026-05-01,2883.33,USD,1.0,Acme US Inc,WIRE983774,bank_2026-05.csv,matched,2026-05-01
BR-000168,BANK-ACM-01,2026-05-31,2883.33,USD,1.0,Acme US Inc,WIRE708227,bank_2026-05.csv,matched,2026-05-31
BR-000169,BANK-ACM-01,2026-05-31,2883.33,USD,1.0,Acme US Inc,WIRE807570,bank_2026-05.csv,matched,2026-05-31
BR-000170,BANK-ACM-01,2025-03-25,13100.0,USD,1.0,Acme US Inc,WIRE652821,bank_2025-03.csv,unmatched,2025-03-25
BR-000171,BANK-ACM-01,2026-05-05,45804.28,USD,1.0,Acme US Inc,WIRE701397,bank_2026-05.csv,matched,2026-05-05
BR-000172,BANK-ACM-01,2025-11-09,10450.0,USD,1.0,Acme US Inc,WIRE528161,bank_2025-11.csv,matched,2025-11-09
BR-000173,BANK-ACM-01,2026-03-25,1315073.36,MXN,0.058,Acme Mexico SA,WIRE964952,bank_2026-03.csv,matched,2026-03-25
BR-000174,BANK-ACM-01,2026-05-18,1560180.65,MXN,0.058,Acme Mexico SA,WIRE701731,bank_2026-05.csv,matched,2026-05-18
BR-000175,BANK-ACM-01,2026-05-31,1420179.79,MXN,0.058,Acme Mexico SA,WIRE603561,bank_2026-05.csv,matched,2026-05-31
BR-000176,BANK-ACM-01,2025-09-29,2295.88,USD,1.0,Acme US Inc,WIRE304617,bank_2025-09.csv,matched,2025-09-29
BR-000177,BANK-ACM-01,2025-10-12,1755.13,USD,1.0,Acme US Inc,WIRE933126,bank_2025-10.csv,matched,2025-10-12
BR-000178,BANK-ACM-01,2025-12-05,1862.96,USD,1.0,Acme US Inc,WIRE432406,bank_2025-12.csv,matched,2025-12-05
BR-000179,BANK-ACM-01,2026-01-22,2090.46,USD,1.0,Acme US Inc,WIRE280291,bank_2026-01.csv,matched,2026-01-22
BR-000180,BANK-ACM-01,2026-01-13,2344.82,USD,1.0,Acme US Inc,WIRE491154,bank_2026-01.csv,matched,2026-01-13
BR-000181,BANK-ACM-01,2026-03-01,1552.66,USD,1.0,Acme US Inc,WIRE470983,bank_2026-03.csv,matched,2026-03-01
BR-000182,BANK-ACM-01,2026-04-13,2516.67,USD,1.0,Acme US Inc,WIRE257633,bank_2026-04.csv,matched,2026-04-13
BR-000183,BANK-ACM-01,2026-05-04,2445.21,USD,1.0,Acme US Inc,WIRE707877,bank_2026-05.csv,matched,2026-05-04
BR-000184,BANK-ACM-01,2026-05-14,1303.42,USD,1.0,Acme US Inc,WIRE240368,bank_2026-05.csv,matched,2026-05-14
BR-000185,BANK-ACM-01,2025-05-30,2016.67,USD,1.0,Acme US Inc,WIRE801274,bank_2025-05.csv,unmatched,2025-05-30
BR-000186,BANK-ACM-01,2025-07-27,2016.67,USD,1.0,Acme US Inc,WIRE263437,bank_2025-07.csv,matched,2025-07-27
BR-000187,BANK-ACM-01,2025-08-19,2016.67,USD,1.0,Acme US Inc,WIRE522020,bank_2025-08.csv,matched,2025-08-19
BR-000188,BANK-ACM-01,2025-09-12,2016.67,USD,1.0,Acme US Inc,WIRE191987,bank_2025-09.csv,matched,2025-09-12
BR-000189,BANK-ACM-01,2025-11-06,2016.67,USD,1.0,Acme US Inc,WIRE889780,bank_2025-11.csv,matched,2025-11-06
BR-000190,BANK-ACM-01,2025-12-08,2016.67,USD,1.0,Acme US Inc,WIRE712570,bank_2025-12.csv,matched,2025-12-08
BR-000191,BANK-ACM-01,2026-01-11,1636.05,USD,1.0,Acme US Inc,WIRE787805,bank_2026-01.csv,matched,2026-01-11
BR-000192,BANK-ACM-01,2026-02-03,2016.67,USD,1.0,Acme US Inc,WIRE977433,bank_2026-02.csv,matched,2026-02-03
