order_id,contract_id,opportunity_id,customer_id,order_date,service_start_date,service_end_date,order_amount,currency,legal_entity,product_line,order_status,billing_block_flag,billing_block_reason,tax_code,po_number,source_system
SO-00017,CTR-00021,OPP-00044,CUST-0010,2025-07-31,2025-07-31,2026-06-30,30700.0,USD,Acme US Inc,SaaS Subscription,active,0,,US-Sales-Tax,PO-66771,ERP
SO-00018,CTR-00022,OPP-00047,CUST-0011,2025-07-31,2025-07-31,2027-06-30,98582.68,GBP,Acme UK Ltd,Implementation,cancelled,0,,UK-VAT,,ERP
SO-00019,CTR-00023,OPP-00048,CUST-0011,2025-07-31,2025-07-31,2028-06-30,201574.8,GBP,Acme UK Ltd,Implementation,active,0,,UK-VAT,,ERP
SO-00020,CTR-00024,OPP-00051,CUST-0012,2025-08-31,2025-08-31,2027-07-31,11700.0,USD,Acme US Inc,Professional Services,active,0,,US-Sales-Tax,,ERP
SO-00021,CTR-00026,OPP-00058,CUST-0013,2025-04-30,2025-04-30,2027-03-30,5052283.46,GBP,Acme UK Ltd,SaaS Subscription,cancelled,0,,UK-VAT,,ERP
SO-00022,CTR-00027,OPP-00060,CUST-0013,2025-06-30,2025-06-30,2027-05-30,1176377.95,GBP,Acme UK Ltd,Professional Services,active,0,,UK-VAT,,ERP
SO-00023,CTR-00028,OPP-00062,CUST-0014,2025-12-31,2025-12-31,2026-11-30,13909090.91,ARS,Acme Argentina SA,Professional Services,active,0,,AR-IVA,,ERP
SO-00024,CTR-00029,OPP-00063,CUST-0014,2026-02-28,2026-02-28,2028-01-28,10636363.64,ARS,Acme Argentina SA,Implementation,active,1,Credit review,AR-IVA,,ERP
SO-00025,CTR-00030,OPP-00069,CUST-0016,2025-10-31,2025-10-31,2027-09-30,32600.0,USD,Acme US Inc,Usage-Based,active,0,,US-Sales-Tax,,ERP
SO-00026,CTR-00031,OPP-00071,CUST-0016,2025-09-30,2025-09-30,2027-08-30,18900.0,USD,Acme US Inc,Usage-Based,fulfilled,1,Tax review,US-Sales-Tax,,ERP
SO-00027,CTR-00032,OPP-00072,CUST-0016,2025-08-31,2025-08-31,2026-07-31,4500.0,USD,Acme US Inc,Professional Services,active,0,,US-Sales-Tax,,ERP
SO-00028,CTR-00033,OPP-00073,CUST-0016,2025-06-30,2025-06-30,2028-05-30,6600.0,USD,Acme US Inc,Usage-Based,active,0,,US-Sales-Tax,,ERP
SO-00029,CTR-00034,OPP-00075,CUST-0017,2025-09-30,2025-09-30,2027-08-30,10100.0,USD,Acme US Inc,Implementation,active,0,,US-Sales-Tax,,ERP
SO-00030,CTR-00035,OPP-00080,CUST-0018,2026-05-31,2026-05-31,2027-04-30,99000.0,USD,Acme US Inc,Implementation,active,0,,US-Sales-Tax,,ERP
SO-00031,CTR-00038,OPP-00090,CUST-0020,2025-10-31,2025-10-31,2027-09-30,68909090.91,ARS,Acme Argentina SA,Professional Services,active,0,,AR-IVA,,ERP
SO-00032,CTR-00039,OPP-00091,CUST-0020,2026-01-31,2026-01-31,2028-12-31,142272727.27,ARS,Acme Argentina SA,Usage-Based,active,0,,AR-IVA,,ERP
SO-00033,CTR-00041,OPP-00094,CUST-0021,2025-09-30,2025-09-30,2027-08-30,4451851.85,EUR,Acme EU GmbH,SaaS Subscription,active,0,,EU-VAT,PO-82485,ERP
SO-00034,CTR-00042,OPP-00095,CUST-0021,2026-05-31,2026-05-31,2027-04-30,1033981.48,EUR,Acme EU GmbH,Professional Services,active,0,,EU-VAT,PO-36066,ERP
SO-00035,CTR-00043,OPP-00100,CUST-0022,2026-01-31,2026-01-31,2026-12-31,20600.0,USD,Acme US Inc,SaaS Subscription,fulfilled,0,,US-Sales-Tax,,ERP
SO-00036,CTR-00044,OPP-00101,CUST-0023,2026-05-31,2026-05-31,2029-04-30,41400.0,USD,Acme US Inc,SaaS Subscription,active,0,,US-Sales-Tax,PO-52461,ERP
SO-00037,CTR-00046,OPP-00107,CUST-0023,2025-07-31,2025-07-31,2028-06-30,39300.0,USD,Acme US Inc,Usage-Based,active,0,,US-Sales-Tax,PO-21369,ERP
SO-00038,CTR-00047,OPP-00108,CUST-0024,2026-05-31,2026-05-31,2029-04-30,11000.0,USD,Acme US Inc,Professional Services,active,0,,US-Sales-Tax,,ERP
SO-00039,CTR-00048,OPP-00109,CUST-0024,2026-01-31,2026-01-31,2026-12-31,22700.0,USD,Acme US Inc,SaaS Subscription,active,0,,US-Sales-Tax,,ERP
SO-00040,CTR-00049,OPP-00113,CUST-0025,2025-08-31,2025-08-31,2027-07-31,473000.0,USD,Acme US Inc,Professional Services,active,0,,US-Sales-Tax,PO-54526,ERP
SO-00041,CTR-00051,OPP-00115,CUST-0025,2025-02-28,2025-02-28,2027-01-28,310400.0,USD,Acme US Inc,Professional Services,active,0,,US-Sales-Tax,PO-31575,ERP
SO-00042,CTR-00052,OPP-00116,CUST-0025,2026-05-31,2026-05-31,2028-04-30,911800.0,USD,Acme US Inc,SaaS Subscription,cancelled,0,,US-Sales-Tax,PO-77653,ERP
SO-00043,CTR-00053,OPP-00117,CUST-0026,2025-08-31,2025-08-31,2026-07-31,80000.0,EUR,Acme EU GmbH,Professional Services,active,0,,EU-VAT,,ERP
SO-00044,CTR-00055,OPP-00121,CUST-0026,2026-02-28,2026-02-28,2028-01-28,60277.78,EUR,Acme EU GmbH,Professional Services,active,0,,EU-VAT,,ERP
SO-00045,CTR-00057,OPP-00125,CUST-0027,2025-10-31,2025-10-31,2027-09-30,74400.0,USD,Acme US Inc,Professional Services,active,0,,US-Sales-Tax,,ERP
SO-00046,CTR-00058,OPP-00126,CUST-0027,2025-04-30,2025-04-30,2028-03-30,63300.0,USD,Acme US Inc,Implementation,active,0,,US-Sales-Tax,,ERP
SO-00047,CTR-00059,OPP-00127,CUST-0027,2025-04-30,2025-04-30,2028-03-30,75300.0,USD,Acme US Inc,Professional Services,active,0,,US-Sales-Tax,,ERP
SO-00048,CTR-00060,OPP-00128,CUST-0027,2026-03-31,2026-03-31,2029-02-28,89200.0,USD,Acme US Inc,Usage-Based,active,0,,US-Sales-Tax,,ERP
SO-00049,CTR-00061,OPP-00130,CUST-0028,2026-03-31,2026-03-31,2028-02-29,507000.0,USD,Acme US Inc,Professional Services,active,1,Credit review,US-Sales-Tax,PO-51679,ERP
SO-00050,CTR-00062,OPP-00131,CUST-0028,2025-08-31,2025-08-31,2027-07-31,275200.0,USD,Acme US Inc,Implementation,active,0,,US-Sales-Tax,PO-17865,ERP
SO-00051,CTR-00065,OPP-00136,CUST-0029,2026-02-28,2026-02-28,2027-01-28,146300.0,USD,Acme US Inc,SaaS Subscription,active,0,,US-Sales-Tax,,ERP
SO-00052,CTR-00067,OPP-00139,CUST-0030,2026-04-30,2026-04-30,2028-03-30,36200.0,USD,Acme US Inc,Usage-Based,fulfilled,0,,US-Sales-Tax,PO-24215,ERP
SO-00053,CTR-00068,OPP-00142,CUST-0031,2026-03-31,2026-03-31,2029-02-28,743103.45,MXN,Acme Mexico SA,Usage-Based,active,0,,MX-IVA,,ERP
SO-00054,CTR-00069,OPP-00143,CUST-0031,2026-02-28,2026-02-28,2028-01-28,2782758.62,MXN,Acme Mexico SA,SaaS Subscription,active,0,,MX-IVA,,ERP
SO-00055,CTR-00070,OPP-00144,CUST-0031,2025-10-31,2025-10-31,2027-09-30,2277586.21,MXN,Acme Mexico SA,Professional Services,active,0,,MX-IVA,,ERP
SO-00056,CTR-00071,OPP-00145,CUST-0032,2025-10-31,2025-10-31,2028-09-30,991000.0,BRL,Acme Brasil Ltda,Usage-Based,active,0,,BR-ICMS,,ERP
SO-00057,CTR-00072,OPP-00146,CUST-0032,2025-10-31,2025-10-31,2027-09-30,2720000.0,BRL,Acme Brasil Ltda,SaaS Subscription,active,0,,BR-ICMS,,ERP
SO-00058,CTR-00074,OPP-00149,CUST-0033,2026-03-31,2026-03-31,2028-02-29,31300.0,USD,Acme US Inc,Usage-Based,active,0,,US-Sales-Tax,,ERP
SO-00059,CTR-00075,OPP-00153,CUST-0033,2026-01-31,2026-01-31,2028-12-31,32100.0,USD,Acme US Inc,Usage-Based,active,0,,US-Sales-Tax,,ERP
SO-00060,CTR-00077,OPP-00156,CUST-0034,2026-04-30,2026-04-30,2029-03-30,7037.04,EUR,Acme EU GmbH,Professional Services,active,0,,EU-VAT,,ERP
SO-00061,CTR-00079,OPP-00162,CUST-0036,2025-09-30,2025-09-30,2028-08-30,340300.0,USD,Acme US Inc,Implementation,active,0,,US-Sales-Tax,PO-69886,ERP
SO-00062,CTR-00080,OPP-00164,CUST-0036,2025-02-28,2025-02-28,2027-01-28,588900.0,USD,Acme US Inc,Professional Services,fulfilled,0,,US-Sales-Tax,PO-80221,ERP
SO-00063,CTR-00081,OPP-00165,CUST-0036,2026-01-31,2026-01-31,2027-12-31,696200.0,USD,Acme US Inc,Professional Services,active,0,,US-Sales-Tax,PO-25408,ERP
SO-00064,CTR-00082,OPP-00166,CUST-0037,2026-01-31,2026-01-31,2027-12-31,7000.0,USD,Acme US Inc,Professional Services,active,0,,US-Sales-Tax,,ERP
SO-00065,CTR-00083,OPP-00168,CUST-0037,2026-02-28,2026-02-28,2028-01-28,59200.0,USD,Acme US Inc,SaaS Subscription,active,0,,US-Sales-Tax,,ERP
SO-00066,CTR-00084,OPP-00169,CUST-0037,2025-03-31,2025-03-31,2027-02-28,4900.0,USD,Acme US Inc,Professional Services,active,0,,US-Sales-Tax,,ERP
SO-00067,CTR-00085,OPP-00172,CUST-0038,2025-06-30,2025-06-30,2027-05-30,2037.04,EUR,Acme EU GmbH,Professional Services,active,0,,EU-VAT,,ERP
SO-00068,CTR-00086,OPP-00173,CUST-0038,2025-06-30,2025-06-30,2027-05-30,7222.22,EUR,Acme EU GmbH,Professional Services,active,0,,EU-VAT,,ERP
SO-00069,CTR-00088,OPP-00176,CUST-0038,2026-04-30,2026-04-30,2028-03-30,50555.56,EUR,Acme EU GmbH,SaaS Subscription,active,0,,EU-VAT,,ERP
SO-00070,CTR-00089,OPP-00178,CUST-0039,2026-05-31,2026-05-31,2027-04-30,821200.0,USD,Acme US Inc,SaaS Subscription,active,1,Credit review,US-Sales-Tax,,ERP
SO-00071,CTR-00092,OPP-00192,CUST-0042,2025-10-31,2025-10-31,2026-09-30,19842.52,GBP,Acme UK Ltd,Professional Services,active,0,,UK-VAT,,ERP
SO-00072,CTR-00093,OPP-00193,CUST-0042,2026-05-31,2026-05-31,2027-04-30,19921.26,GBP,Acme UK Ltd,Usage-Based,fulfilled,0,,UK-VAT,,ERP
SO-00073,CTR-00094,OPP-00194,CUST-0043,2026-01-31,2026-01-31,2027-12-31,5826851.85,EUR,Acme EU GmbH,SaaS Subscription,active,0,,EU-VAT,PO-15728,ERP
SO-00074,CTR-00095,OPP-00195,CUST-0043,2025-07-31,2025-07-31,2028-06-30,841944.44,EUR,Acme EU GmbH,Professional Services,active,0,,EU-VAT,PO-77272,ERP
SO-00075,CTR-00097,OPP-00197,CUST-0044,2025-11-30,2025-11-30,2027-10-30,224800.0,USD,Acme US Inc,SaaS Subscription,active,0,,US-Sales-Tax,,ERP
SO-00076,CTR-00099,OPP-00202,CUST-0045,2025-08-31,2025-08-31,2028-07-31,22700.0,USD,Acme US Inc,Implementation,active,1,Credit review,US-Sales-Tax,,ERP
SO-00077,CTR-00101,OPP-00205,CUST-0045,2025-08-31,2025-08-31,2027-07-31,41800.0,USD,Acme US Inc,SaaS Subscription,active,0,,US-Sales-Tax,,ERP
SO-00078,CTR-00102,OPP-00209,CUST-0047,2026-02-28,2026-02-28,2027-01-28,28503.94,GBP,Acme UK Ltd,SaaS Subscription,active,0,,UK-VAT,,ERP
SO-00079,CTR-00103,OPP-00211,CUST-0047,2026-05-31,2026-05-31,2028-04-30,8661.42,GBP,Acme UK Ltd,SaaS Subscription,active,0,,UK-VAT,,ERP
SO-00080,CTR-00104,OPP-00212,CUST-0047,2025-07-31,2025-07-31,2027-06-30,13937.01,GBP,Acme UK Ltd,Professional Services,fulfilled,0,,UK-VAT,,ERP
SO-00081,CTR-00107,OPP-00218,CUST-0048,2026-02-28,2026-02-28,2027-01-28,41944.44,EUR,Acme EU GmbH,Professional Services,active,0,,EU-VAT,,ERP
SO-00082,CTR-00108,OPP-00221,CUST-0049,2025-11-30,2025-11-30,2028-10-30,101800.0,USD,Acme US Inc,Usage-Based,active,0,,US-Sales-Tax,,ERP
SO-00083,CTR-00109,OPP-00222,CUST-0050,2026-05-31,2026-05-31,2028-04-30,1991000.0,BRL,Acme Brasil Ltda,SaaS Subscription,active,1,Credit review,BR-ICMS,,ERP
SO-00084,CTR-00110,OPP-00224,CUST-0050,2025-07-31,2025-07-31,2027-06-30,3541000.0,BRL,Acme Brasil Ltda,SaaS Subscription,active,0,,BR-ICMS,,ERP
SO-00085,CTR-00111,OPP-00225,CUST-0050,2025-09-30,2025-09-30,2027-08-30,635500.0,BRL,Acme Brasil Ltda,Implementation,active,0,,BR-ICMS,,ERP
SO-00086,CTR-00113,OPP-00229,CUST-0051,2026-03-31,2026-03-31,2027-02-28,5400.0,USD,Acme US Inc,Professional Services,active,0,,US-Sales-Tax,PO-99126,ERP
SO-00087,CTR-00114,OPP-00231,CUST-0051,2026-05-31,2026-05-31,2027-04-30,20100.0,USD,Acme US Inc,Usage-Based,active,0,,US-Sales-Tax,PO-93992,ERP
SO-00088,CTR-00115,OPP-00232,CUST-0051,2026-05-31,2026-05-31,2028-04-30,78000.0,USD,Acme US Inc,SaaS Subscription,fulfilled,0,,US-Sales-Tax,PO-10155,ERP
SO-00089,CTR-00116,OPP-00234,CUST-0052,2026-03-31,2026-03-31,2029-02-28,14400.0,USD,Acme US Inc,Implementation,active,0,,US-Sales-Tax,,ERP
SO-00090,CTR-00118,OPP-00236,CUST-0052,2025-04-30,2025-04-30,2027-03-30,29800.0,USD,Acme US Inc,SaaS Subscription,active,1,Pending PO,US-Sales-Tax,,ERP
SO-00091,CTR-00120,OPP-00242,CUST-0053,2025-10-31,2025-10-31,2027-09-30,225511.81,GBP,Acme UK Ltd,Professional Services,active,0,,UK-VAT,PO-29553,ERP
SO-00092,CTR-00122,OPP-00246,CUST-0054,2025-05-31,2025-05-31,2027-04-30,318000.0,USD,Acme US Inc,Implementation,active,0,,US-Sales-Tax,PO-85518,ERP
SO-00093,CTR-00123,OPP-00247,CUST-0054,2025-05-31,2025-05-31,2027-04-30,191100.0,USD,Acme US Inc,Implementation,active,0,,US-Sales-Tax,PO-46419,ERP
SO-00094,CTR-00124,OPP-00248,CUST-0055,2026-01-31,2026-01-31,2026-12-31,135370.37,EUR,Acme EU GmbH,Usage-Based,active,1,Credit review,EU-VAT,,ERP
SO-00095,CTR-00125,OPP-00249,CUST-0055,2026-05-31,2026-05-31,2028-04-30,162222.22,EUR,Acme EU GmbH,SaaS Subscription,active,0,,EU-VAT,,ERP
SO-00096,CTR-00127,OPP-00251,CUST-0055,2026-01-31,2026-01-31,2026-12-31,101018.52,EUR,Acme EU GmbH,Usage-Based,fulfilled,0,,EU-VAT,,ERP
SO-00097,CTR-00128,OPP-00254,CUST-0056,2025-05-31,2025-05-31,2027-04-30,14444.44,EUR,Acme EU GmbH,SaaS Subscription,active,1,Tax review,EU-VAT,PO-91721,ERP
SO-00098,CTR-00130,OPP-00256,CUST-0056,2026-05-31,2026-05-31,2028-04-30,18888.89,EUR,Acme EU GmbH,Usage-Based,active,0,,EU-VAT,PO-96651,ERP
SO-00099,CTR-00131,OPP-00258,CUST-0057,2025-11-30,2025-11-30,2026-10-30,8600.0,USD,Acme US Inc,SaaS Subscription,cancelled,0,,US-Sales-Tax,,ERP
SO-00100,CTR-00132,OPP-00259,CUST-0057,2025-04-30,2025-04-30,2027-03-30,9800.0,USD,Acme US Inc,Professional Services,active,1,Credit review,US-Sales-Tax,,ERP
SO-00101,CTR-00133,OPP-00261,CUST-0058,2025-04-30,2025-04-30,2027-03-30,81800.0,USD,Acme US Inc,Usage-Based,fulfilled,0,,US-Sales-Tax,PO-29505,ERP
SO-00102,CTR-00134,OPP-00262,CUST-0058,2025-08-31,2025-08-31,2027-07-31,202200.0,USD,Acme US Inc,SaaS Subscription,fulfilled,1,Tax review,US-Sales-Tax,PO-62146,ERP
SO-00103,CTR-00135,OPP-00263,CUST-0058,2026-01-31,2026-01-31,2027-12-31,50300.0,USD,Acme US Inc,Professional Services,cancelled,0,,US-Sales-Tax,PO-95016,ERP
SO-00104,CTR-00138,OPP-00266,CUST-0059,2026-03-31,2026-03-31,2027-02-28,212283.46,GBP,Acme UK Ltd,SaaS Subscription,fulfilled,0,,UK-VAT,,ERP
SO-00105,CTR-00139,OPP-00267,CUST-0059,2025-08-31,2025-08-31,2028-07-31,252519.69,GBP,Acme UK Ltd,Implementation,active,0,,UK-VAT,,ERP
SO-00106,CTR-00140,OPP-00268,CUST-0059,2026-03-31,2026-03-31,2027-02-28,90078.74,GBP,Acme UK Ltd,Implementation,active,0,,UK-VAT,,ERP
SO-00107,CTR-00142,OPP-00272,CUST-0060,2025-03-31,2025-03-31,2027-02-28,4400.0,USD,Acme US Inc,Professional Services,active,0,,US-Sales-Tax,PO-68291,ERP
SO-00108,CTR-00143,OPP-00274,CUST-0061,2025-02-28,2025-02-28,2028-01-28,7800.0,USD,Acme US Inc,Professional Services,fulfilled,0,,US-Sales-Tax,,ERP
SO-00109,CTR-00144,OPP-00276,CUST-0061,2025-08-31,2025-08-31,2027-07-31,30000.0,USD,Acme US Inc,Professional Services,active,0,,US-Sales-Tax,,ERP
SO-00110,CTR-00146,OPP-00278,CUST-0062,2026-04-30,2026-04-30,2028-03-30,79800.0,USD,Acme US Inc,Professional Services,active,0,,US-Sales-Tax,,ERP
SO-00111,CTR-00147,OPP-00279,CUST-0062,2025-12-31,2025-12-31,2028-11-30,33200.0,USD,Acme US Inc,Professional Services,cancelled,0,,US-Sales-Tax,,ERP
SO-00112,CTR-00149,OPP-00285,CUST-0064,2026-04-30,2026-04-30,2028-03-30,79055.12,GBP,Acme UK Ltd,Implementation,active,0,,UK-VAT,PO-66475,ERP
SO-00113,CTR-00150,OPP-00288,CUST-0064,2025-06-30,2025-06-30,2027-05-30,86535.43,GBP,Acme UK Ltd,Implementation,active,0,,UK-VAT,PO-55295,ERP
SO-00114,CTR-00151,OPP-00289,CUST-0065,2025-02-28,2025-02-28,2028-01-28,179600.0,USD,Acme US Inc,Usage-Based,active,0,,US-Sales-Tax,,ERP
SO-00115,CTR-00152,OPP-00290,CUST-0065,2026-04-30,2026-04-30,2027-03-30,124500.0,USD,Acme US Inc,Usage-Based,active,0,,US-Sales-Tax,,ERP
SO-00116,CTR-00154,OPP-00295,CUST-0066,2025-05-31,2025-05-31,2027-04-30,25300.0,USD,Acme US Inc,Implementation,active,0,,US-Sales-Tax,,ERP
SO-00117,CTR-00155,OPP-00296,CUST-0066,2025-04-30,2025-04-30,2027-03-30,24600.0,USD,Acme US Inc,Professional Services,active,0,,US-Sales-Tax,,ERP
SO-00118,CTR-00156,OPP-00297,CUST-0066,2025-04-30,2025-04-30,2028-03-30,20600.0,USD,Acme US Inc,Professional Services,active,0,,US-Sales-Tax,,ERP
SO-00119,CTR-00157,OPP-00298,CUST-0067,2025-08-31,2025-08-31,2027-07-31,69200.0,USD,Acme US Inc,SaaS Subscription,fulfilled,1,Tax review,US-Sales-Tax,,ERP
SO-00120,CTR-00158,OPP-00301,CUST-0067,2025-02-28,2025-02-28,2028-01-28,13100.0,USD,Acme US Inc,Implementation,active,0,,US-Sales-Tax,,ERP
SO-00121,CTR-00159,OPP-00307,CUST-0068,2026-04-30,2026-04-30,2027-03-30,13425.93,EUR,Acme EU GmbH,SaaS Subscription,active,0,,EU-VAT,,ERP
SO-00122,CTR-00160,OPP-00310,CUST-0069,2026-01-31,2026-01-31,2026-12-31,61900.0,USD,Acme US Inc,Implementation,active,0,,US-Sales-Tax,,ERP
SO-00123,CTR-00161,OPP-00311,CUST-0069,2025-08-31,2025-08-31,2027-07-31,20900.0,USD,Acme US Inc,Professional Services,active,0,,US-Sales-Tax,,ERP
SO-00124,CTR-00162,OPP-00313,CUST-0070,2025-11-30,2025-11-30,2026-10-30,15065517.24,MXN,Acme Mexico SA,Usage-Based,active,0,,MX-IVA,PO-22783,ERP
SO-00125,CTR-00163,OPP-00314,CUST-0070,2025-09-30,2025-09-30,2026-08-30,14182758.62,MXN,Acme Mexico SA,Usage-Based,active,0,,MX-IVA,PO-34394,ERP
SO-00126,CTR-00164,OPP-00316,CUST-0071,2025-08-31,2025-08-31,2027-07-31,23600.0,USD,Acme US Inc,Usage-Based,active,0,,US-Sales-Tax,PO-13618,ERP
SO-00127,CTR-00165,OPP-00317,CUST-0071,2025-04-30,2025-04-30,2028-03-30,72600.0,USD,Acme US Inc,SaaS Subscription,fulfilled,0,,US-Sales-Tax,PO-74010,ERP
SO-00128,CTR-00166,OPP-00319,CUST-0071,2025-07-31,2025-07-31,2027-06-30,15400.0,USD,Acme US Inc,Implementation,active,0,,US-Sales-Tax,PO-58394,ERP
SO-00129,CTR-00167,OPP-00321,CUST-0071,2025-10-31,2025-10-31,2028-09-30,67800.0,USD,Acme US Inc,SaaS Subscription,cancelled,0,,US-Sales-Tax,PO-24581,ERP
SO-00130,CTR-00168,OPP-00323,CUST-0072,2025-05-31,2025-05-31,2027-04-30,92755.91,GBP,Acme UK Ltd,Implementation,active,0,,UK-VAT,,ERP
SO-00131,CTR-00169,OPP-00326,CUST-0073,2026-01-31,2026-01-31,2026-12-31,9181818.18,ARS,Acme Argentina SA,Implementation,active,0,,AR-IVA,,ERP
SO-00132,CTR-00170,OPP-00327,CUST-0073,2025-03-31,2025-03-31,2027-02-28,7363636.36,ARS,Acme Argentina SA,Implementation,fulfilled,0,,AR-IVA,,ERP
SO-00133,CTR-00171,OPP-00328,CUST-0073,2025-11-30,2025-11-30,2027-10-30,9000000.0,ARS,Acme Argentina SA,Professional Services,active,0,,AR-IVA,,ERP
SO-00134,CTR-00172,OPP-00329,CUST-0073,2025-12-31,2025-12-31,2027-11-30,9454545.45,ARS,Acme Argentina SA,Implementation,fulfilled,0,,AR-IVA,,ERP
SO-00135,CTR-00175,OPP-00337,CUST-0075,2026-01-31,2026-01-31,2027-12-31,5110344.83,MXN,Acme Mexico SA,SaaS Subscription,active,0,,MX-IVA,,ERP
SO-00136,CTR-00177,OPP-00339,CUST-0075,2025-09-30,2025-09-30,2028-08-30,2224137.93,MXN,Acme Mexico SA,SaaS Subscription,fulfilled,1,Credit review,MX-IVA,,ERP
SO-00137,CTR-00178,OPP-00342,CUST-0076,2025-03-31,2025-03-31,2028-02-29,78800.0,USD,Acme US Inc,Professional Services,cancelled,0,,US-Sales-Tax,,ERP
SO-00138,CTR-00179,OPP-00343,CUST-0076,2026-01-31,2026-01-31,2026-12-31,163300.0,USD,Acme US Inc,SaaS Subscription,active,0,,US-Sales-Tax,,ERP
SO-00139,CTR-00181,OPP-00348,CUST-0078,2026-04-30,2026-04-30,2027-03-30,34181818.18,ARS,Acme Argentina SA,SaaS Subscription,active,0,,AR-IVA,,ERP
SO-00140,CTR-00183,OPP-00355,CUST-0079,2025-07-31,2025-07-31,2027-06-30,618740.16,GBP,Acme UK Ltd,SaaS Subscription,active,0,,UK-VAT,,ERP
SO-00141,CTR-00185,OPP-00359,CUST-0079,2025-07-31,2025-07-31,2027-06-30,135118.11,GBP,Acme UK Ltd,Professional Services,active,0,,UK-VAT,,ERP
SO-00142,CTR-00187,OPP-00361,CUST-0080,2026-05-31,2026-05-31,2029-04-30,17500.0,USD,Acme US Inc,Usage-Based,active,0,,US-Sales-Tax,,ERP
SO-00143,CTR-00188,OPP-00363,CUST-0080,2025-10-31,2025-10-31,2027-09-30,6600.0,USD,Acme US Inc,Implementation,active,0,,US-Sales-Tax,,ERP
SO-00144,CTR-00189,OPP-00364,CUST-0081,2026-02-28,2026-02-28,2028-01-28,17222.22,EUR,Acme EU GmbH,Professional Services,active,0,,EU-VAT,PO-82847,ERP
SO-00145,CTR-00190,OPP-00366,CUST-0081,2026-01-31,2026-01-31,2027-12-31,15925.93,EUR,Acme EU GmbH,Implementation,fulfilled,0,,EU-VAT,PO-85454,ERP
SO-00146,CTR-00191,OPP-00368,CUST-0081,2025-09-30,2025-09-30,2027-08-30,15555.56,EUR,Acme EU GmbH,Professional Services,fulfilled,0,,EU-VAT,PO-12409,ERP
SO-00147,CTR-00192,OPP-00369,CUST-0082,2026-02-28,2026-02-28,2029-01-28,1185000.0,USD,Acme US Inc,Usage-Based,active,0,,US-Sales-Tax,,ERP
