payment_id,customer_id,payment_date,payment_amount,currency,payment_method,bank_receipt_id,remittance_reference,payer_name,payment_status,created_at
PMT-000047,CUST-0013,2025-04-28,3277.78,EUR,ACH,BR-000047,INV-000066,Solstice Energy,received,2025-04-28
PMT-000048,CUST-0013,2025-07-01,3277.78,EUR,ACH,BR-000048,INV-000067,Solstice Energy,received,2025-07-01
PMT-000049,CUST-0013,2025-07-23,3277.78,EUR,Wire,BR-000049,INV-000068,Solstice Energy,received,2025-07-23
PMT-000050,CUST-0013,2025-10-02,3277.78,EUR,ACH,BR-000050,INV-000070,Solstice Energy,received,2025-10-02
PMT-000051,CUST-0013,2025-10-26,3277.78,EUR,Wire,BR-000051,INV-000071,Solstice Energy,received,2025-10-26
PMT-000052,CUST-0013,2025-11-12,3277.78,EUR,Wire,BR-000052,INV-000072,Solstice Energy,received,2025-11-12
PMT-000053,CUST-0013,2025-12-12,2669.87,EUR,Card,BR-000053,INV-000073,Solstice Energy,received,2025-12-12
PMT-000054,CUST-0013,2026-01-27,3277.78,EUR,ACH,BR-000054,INV-000074,Solstice Energy,received,2026-01-27
PMT-000055,CUST-0013,2026-03-05,3277.78,EUR,Wire,BR-000055,INV-000075,Solstice Energy,received,2026-03-05
PMT-000056,CUST-0013,2026-03-09,3277.78,EUR,Wire,BR-000056,INV-000076,Solstice Energy,received,2026-03-09
PMT-000057,CUST-0013,2026-05-02,3277.78,EUR,ACH,BR-000057,INV-000077,Solstice Energy,received,2026-05-02
PMT-000058,CUST-0013,2026-06-02,3277.78,EUR,Wire,BR-000058,INV-000078,Solstice Energy,received,2026-06-02
PMT-000059,CUST-0013,2026-05-25,3277.78,EUR,ACH,BR-000059,INV-000079,Solstice Energy,received,2026-05-25
PMT-000060,CUST-0013,2026-04-27,3425.93,EUR,ACH,BR-000060,INV-000082,Solstice Energy,received,2026-04-27
PMT-000061,CUST-0013,2026-05-16,3425.93,EUR,Wire,BR-000061,INV-000083,Solstice Energy,received,2026-05-16
PMT-000062,CUST-0013,2026-06-15,3425.93,EUR,Wire,BR-000062,INV-000084,Solstice Energy,received,2026-06-15
PMT-000063,CUST-0014,2025-06-24,13599.75,USD,Card,BR-000063,INV-000087,Ironclad Studios,received,2025-06-24
PMT-000064,CUST-0014,2025-08-05,14312.47,USD,Card,BR-000064,INV-000088,Ironclad Studios,received,2025-08-05
PMT-000065,CUST-0014,2025-09-08,8718.5,USD,Wire,BR-000065,INV-000089,Ironclad Studios,received,2025-09-08
PMT-000066,CUST-0014,2025-08-25,14960.75,USD,ACH,BR-000066,INV-000090,Ironclad Studios,received,2025-08-25
PMT-000067,CUST-0014,2025-10-23,8449.47,USD,ACH,BR-000067,INV-000091,Ironclad Studios,received,2025-10-23
PMT-000068,CUST-0014,2025-10-30,11588.8,USD,Wire,BR-000068,INV-000092,Ironclad Studios,received,2025-10-30
PMT-000069,CUST-0014,2025-11-24,9959.97,USD,Wire,BR-000069,INV-000093,Ironclad Studios,received,2025-11-24
PMT-000070,CUST-0014,2026-01-02,11320.31,USD,Wire,BR-000070,INV-000094,Ironclad Studios,received,2026-01-02
PMT-000071,CUST-0014,2026-02-14,9011.71,USD,Wire,BR-000071,INV-000095,Ironclad Studios,received,2026-02-14
PMT-000072,CUST-0014,2026-03-31,14297.76,USD,Wire,BR-000072,INV-000096,Ironclad Studios,received,2026-03-31
PMT-000073,CUST-0014,2026-05-03,8900.35,USD,ACH,BR-000073,INV-000097,Ironclad Studios,received,2026-05-03
PMT-000074,CUST-0014,2026-06-02,12963.2,USD,Wire,BR-000074,INV-000098,Ironclad Studios,received,2026-06-02
PMT-000075,CUST-0014,2026-06-04,13724.67,USD,Wire,BR-000075,INV-000099,Ironclad Studios,received,2026-06-04
PMT-000076,CUST-0014,2026-06-23,10400.77,USD,Wire,BR-000076,INV-000100,Ironclad Studios,received,2026-06-23
PMT-000077,CUST-0014,2026-04-22,29725.0,USD,Check,BR-000077,INV-000102,Ironclad Studios,received,2026-04-22
PMT-000078,CUST-0014,2026-06-30,29725.0,USD,Wire,BR-000078,INV-000103,Ironclad Studios,received,2026-06-30
PMT-000079,CUST-0015,2026-01-14,140600.0,USD,Check,BR-000079,INV-000104,Orchard Technologies,received,2026-01-14
PMT-000080,CUST-0015,2026-03-03,140600.0,USD,ACH,BR-000080,INV-000105,Orchard Technologies,received,2026-03-03
PMT-000081,CUST-0016,2025-07-27,6900.0,USD,Wire,BR-000081,INV-000106,Sterling Capital,received,2025-07-27
PMT-000082,CUST-0016,2025-08-26,6900.0,USD,Wire,BR-000082,INV-000107,Sterling Capital,received,2025-08-26
PMT-000083,CUST-0016,2026-06-30,2533.33,USD,Wire,BR-000083,INV-000108,Sterling Capital,received,2026-06-30
PMT-000084,CUST-0016,2026-06-30,2533.33,USD,ACH,BR-000084,INV-000109,Sterling Capital,received,2026-06-30
PMT-000085,CUST-0017,2025-10-04,501976.62,BRL,ACH,BR-000085,INV-000111,Tideline Analytics,received,2025-10-04
PMT-000086,CUST-0017,2026-01-17,578592.61,BRL,Card,BR-000086,INV-000112,Tideline Analytics,received,2026-01-17
PMT-000087,CUST-0017,2026-04-21,640125.03,BRL,Wire,BR-000087,INV-000113,Tideline Analytics,received,2026-04-21
PMT-000088,CUST-0017,2026-06-30,758814.28,BRL,Wire,BR-000088,INV-000114,Tideline Analytics,received,2026-06-30
PMT-000089,CUST-0017,2025-10-20,634432.5,BRL,Wire,BR-000089,INV-000115,Tideline Analytics,received,2025-10-20
PMT-000090,CUST-0017,2025-11-05,634432.5,BRL,ACH,BR-000090,INV-000116,Tideline Analytics,received,2025-11-05
PMT-000091,CUST-0018,2026-01-05,684250.0,USD,ACH,BR-000091,INV-000117,Northwind Systems,received,2026-01-05
PMT-000092,CUST-0018,2026-03-10,684250.0,USD,Check,BR-000092,INV-000118,Northwind Systems,received,2026-03-10
PMT-000093,CUST-0018,2026-06-18,684250.0,USD,Card,BR-000093,INV-000119,Northwind Systems,received,2026-06-18
PMT-000094,CUST-0018,2025-05-24,628100.0,USD,Card,BR-000094,INV-000121,Northwind Systems,received,2025-05-24
PMT-000095,CUST-0018,2025-07-27,628100.0,USD,ACH,BR-000095,INV-000122,Northwind Systems,received,2025-07-27
PMT-000096,CUST-0018,2025-11-24,628100.0,USD,Wire,BR-000096,INV-000123,Northwind Systems,received,2025-11-24
PMT-000097,CUST-0018,2026-02-12,628100.0,USD,ACH,BR-000097,INV-000124,Northwind Systems,received,2026-02-12
PMT-000098,CUST-0018,2026-06-01,628100.0,USD,Wire,BR-000098,INV-000125,Northwind Systems,received,2026-06-01
PMT-000099,CUST-0020,2025-11-03,1700.22,USD,Check,BR-000099,INV-000127,Lumen Foods,received,2025-11-03
PMT-000100,CUST-0020,2025-11-24,2498.92,USD,Wire,BR-000100,INV-000128,Lumen Foods,received,2025-11-24
PMT-000101,CUST-0020,2025-12-15,1992.89,USD,ACH,BR-000101,INV-000129,Lumen Foods,received,2025-12-15
PMT-000102,CUST-0020,2026-01-04,1595.18,USD,ACH,BR-000102,INV-000130,Lumen Foods,received,2026-01-04
PMT-000103,CUST-0020,2026-02-27,2555.83,USD,Wire,BR-000103,INV-000131,Lumen Foods,received,2026-02-27
PMT-000104,CUST-0020,2026-03-02,2117.34,USD,ACH,BR-000104,INV-000132,Lumen Foods,received,2026-03-02
PMT-000105,CUST-0020,2026-04-12,1935.29,USD,Wire,BR-000105,INV-000133,Lumen Foods,received,2026-04-12
PMT-000106,CUST-0020,2026-04-30,1428.13,USD,ACH,BR-000106,INV-000134,Lumen Foods,received,2026-04-30
PMT-000107,CUST-0020,2026-06-30,1467.08,USD,Wire,BR-000107,INV-000135,Lumen Foods,received,2026-06-30
PMT-000108,CUST-0020,2026-06-30,1460.25,USD,Wire,BR-000108,INV-000136,Lumen Foods,received,2026-06-30
PMT-000109,CUST-0020,2025-10-31,916.67,USD,Wire,BR-000109,INV-000138,Lumen Foods,received,2025-10-31
PMT-000110,CUST-0020,2025-11-07,916.67,USD,Wire,BR-000110,INV-000139,Lumen Foods,received,2025-11-07
PMT-000111,CUST-0020,2025-12-27,916.67,USD,Wire,BR-000111,INV-000140,Lumen Foods,received,2025-12-27
PMT-000112,CUST-0020,2026-02-06,916.67,USD,Check,BR-000112,INV-000141,Lumen Foods,received,2026-02-06
PMT-000113,CUST-0020,2026-02-02,916.67,USD,Card,BR-000113,INV-000142,Lumen Foods,received,2026-02-02
PMT-000114,CUST-0020,2026-03-09,916.67,USD,Wire,BR-000114,INV-000143,Lumen Foods,received,2026-03-09
PMT-000115,CUST-0020,2026-04-21,916.67,USD,ACH,BR-000115,INV-000144,Lumen Foods,received,2026-04-21
PMT-000116,CUST-0020,2026-06-06,739.27,USD,Wire,BR-000116,INV-000145,Lumen Foods,received,2026-06-06
PMT-000117,CUST-0020,2026-06-17,916.67,USD,ACH,BR-000117,INV-000146,Lumen Foods,received,2026-06-17
PMT-000118,CUST-0020,2026-06-30,916.67,USD,Card,BR-000118,INV-000147,Lumen Foods,received,2026-06-30
PMT-000119,CUST-0021,2025-12-23,108300.0,USD,ACH,BR-000119,INV-000150,Pioneer Mobility,received,2025-12-23
PMT-000120,CUST-0021,2025-09-09,25300.0,USD,ACH,BR-000120,INV-000151,Pioneer Mobility,received,2025-09-09
PMT-000121,CUST-0022,2026-02-01,158535.0,BRL,Wire,BR-000121,INV-000152,Solstice Group,received,2026-02-01
PMT-000122,CUST-0023,2026-05-07,41175.0,USD,Wire,BR-000122,INV-000153,Ironclad Health,received,2026-05-07
PMT-000123,CUST-0023,2026-06-16,41175.0,USD,Wire,BR-000123,INV-000154,Ironclad Health,received,2026-06-16
PMT-000124,CUST-0023,2026-06-30,41175.0,USD,ACH,BR-000124,INV-000155,Ironclad Health,received,2026-06-30
PMT-000125,CUST-0023,2026-05-15,84100.0,USD,Wire,BR-000125,INV-000158,Ironclad Health,received,2026-05-15
PMT-000126,CUST-0023,2025-09-22,277400.0,USD,Wire,BR-000126,INV-000159,Ironclad Health,received,2025-09-22
PMT-000127,CUST-0025,2025-09-14,42638.89,EUR,Card,BR-000127,INV-000164,Sterling Ventures,received,2025-09-14
PMT-000128,CUST-0025,2025-11-13,42638.89,EUR,Wire,BR-000128,INV-000165,Sterling Ventures,received,2025-11-13
PMT-000129,CUST-0025,2026-03-24,42638.89,EUR,Wire,BR-000129,INV-000166,Sterling Ventures,received,2026-03-24
PMT-000130,CUST-0025,2026-05-26,42638.89,EUR,Wire,BR-000130,INV-000167,Sterling Ventures,received,2026-05-26
PMT-000131,CUST-0025,2026-06-30,42638.89,EUR,Wire,BR-000131,INV-000168,Sterling Ventures,received,2026-06-30
PMT-000132,CUST-0026,2026-05-28,1023100.0,USD,Wire,BR-000132,INV-000169,Tideline Holdings,received,2026-05-28
PMT-000133,CUST-0026,2025-09-18,1238600.0,USD,Check,BR-000133,INV-000170,Tideline Holdings,received,2025-09-18
PMT-000134,CUST-0026,2025-10-21,1238600.0,USD,ACH,BR-000134,INV-000171,Tideline Holdings,received,2025-10-21
PMT-000135,CUST-0026,2026-06-30,91033.33,USD,ACH,BR-000135,INV-000172,Tideline Holdings,received,2026-06-30
PMT-000136,CUST-0027,2026-03-09,12800.0,USD,ACH,BR-000136,INV-000173,Northwind Media,received,2026-03-09
PMT-000137,CUST-0028,2026-04-07,67675.0,USD,Wire,BR-000137,INV-000174,Summit Networks,received,2026-04-07
PMT-000138,CUST-0028,2026-06-30,67675.0,USD,Card,BR-000138,INV-000175,Summit Networks,received,2026-06-30
PMT-000139,CUST-0028,2025-07-26,32232.68,USD,Card,BR-000139,INV-000176,Summit Networks,received,2025-07-26
PMT-000140,CUST-0028,2025-09-20,22289.49,USD,Wire,BR-000140,INV-000178,Summit Networks,received,2025-09-20
PMT-000141,CUST-0028,2025-11-03,36614.08,USD,Check,BR-000141,INV-000179,Summit Networks,received,2025-11-03
PMT-000142,CUST-0028,2025-11-30,36533.39,USD,Wire,BR-000142,INV-000180,Summit Networks,received,2025-11-30
PMT-000143,CUST-0028,2025-12-14,22429.6,USD,Card,BR-000143,INV-000181,Summit Networks,received,2025-12-14
PMT-000144,CUST-0028,2026-01-08,34979.57,USD,Check,BR-000144,INV-000182,Summit Networks,received,2026-01-08
PMT-000145,CUST-0028,2026-01-27,31433.95,USD,Card,BR-000145,INV-000183,Summit Networks,received,2026-01-27
PMT-000146,CUST-0028,2026-03-15,38370.25,USD,Wire,BR-000146,INV-000184,Summit Networks,received,2026-03-15
PMT-000147,CUST-0028,2026-05-05,26815.96,USD,Check,BR-000147,INV-000185,Summit Networks,received,2026-05-05
PMT-000148,CUST-0028,2026-06-29,36150.84,USD,ACH,BR-000148,INV-000187,Summit Networks,received,2026-06-29
PMT-000149,CUST-0028,2026-06-30,28447.81,USD,Check,BR-000149,INV-000188,Summit Networks,received,2026-06-30
PMT-000150,CUST-0029,2026-06-28,2806000.0,MXN,Wire,BR-000150,INV-000190,Lumen Labs,received,2026-06-28
PMT-000151,CUST-0029,2026-04-08,263597.52,MXN,ACH,BR-000151,INV-000191,Lumen Labs,received,2026-04-08
PMT-000152,CUST-0029,2026-06-23,256798.72,MXN,Wire,BR-000152,INV-000192,Lumen Labs,received,2026-06-23
PMT-000153,CUST-0029,2026-03-30,1896000.0,MXN,Wire,BR-000153,INV-000193,Lumen Labs,received,2026-03-30
PMT-000154,CUST-0030,2026-01-15,416475.0,USD,Wire,BR-000154,INV-000194,Pioneer Retail,received,2026-01-15
PMT-000155,CUST-0030,2026-05-06,416475.0,USD,ACH,BR-000155,INV-000195,Pioneer Retail,received,2026-05-06
PMT-000156,CUST-0030,2025-08-13,669100.99,USD,Wire,BR-000156,INV-000197,Pioneer Retail,received,2025-08-13
PMT-000157,CUST-0030,2025-10-19,463909.96,USD,Card,BR-000157,INV-000198,Pioneer Retail,received,2025-10-19
PMT-000158,CUST-0030,2026-01-24,425464.93,USD,Wire,BR-000158,INV-000199,Pioneer Retail,received,2026-01-24
PMT-000159,CUST-0030,2026-05-23,449777.22,USD,Wire,BR-000159,INV-000200,Pioneer Retail,received,2026-05-23
PMT-000160,CUST-0031,2025-05-15,53139.49,GBP,Wire,BR-000160,INV-000203,Solstice Energy,received,2025-05-15
PMT-000161,CUST-0031,2025-06-08,71667.52,GBP,Wire,BR-000161,INV-000204,Solstice Energy,received,2025-06-08
PMT-000162,CUST-0031,2025-07-10,59666.2,GBP,Wire,BR-000162,INV-000205,Solstice Energy,received,2025-07-10
PMT-000163,CUST-0031,2025-09-18,55944.37,GBP,ACH,BR-000163,INV-000207,Solstice Energy,received,2025-09-18
PMT-000164,CUST-0031,2025-11-01,72806.14,GBP,Wire,BR-000164,INV-000208,Solstice Energy,received,2025-11-01
PMT-000165,CUST-0031,2025-10-30,55653.46,GBP,ACH,BR-000165,INV-000209,Solstice Energy,received,2025-10-30
PMT-000166,CUST-0031,2025-12-23,54159.83,GBP,Wire,BR-000166,INV-000210,Solstice Energy,received,2025-12-23
PMT-000167,CUST-0031,2026-02-01,76466.93,GBP,Wire,BR-000167,INV-000211,Solstice Energy,received,2026-02-01
PMT-000168,CUST-0031,2026-03-06,66034.86,GBP,Wire,BR-000168,INV-000212,Solstice Energy,received,2026-03-06
PMT-000169,CUST-0031,2026-04-06,64610.39,GBP,Wire,BR-000169,INV-000213,Solstice Energy,received,2026-04-06
PMT-000170,CUST-0031,2026-04-17,41890.85,GBP,ACH,BR-000170,INV-000214,Solstice Energy,received,2026-04-17
PMT-000171,CUST-0031,2026-05-07,44742.53,GBP,ACH,BR-000171,INV-000215,Solstice Energy,received,2026-05-07
PMT-000172,CUST-0031,2026-06-19,68883.95,GBP,ACH,BR-000172,INV-000216,Solstice Energy,received,2026-06-19
PMT-000173,CUST-0031,2026-06-30,64256.17,GBP,ACH,BR-000173,INV-000217,Solstice Energy,received,2026-06-30
PMT-000174,CUST-0031,2026-01-24,106724.41,GBP,ACH,BR-000174,INV-000220,Solstice Energy,received,2026-01-24
PMT-000175,CUST-0031,2025-10-14,38220.47,GBP,ACH,BR-000175,INV-000221,Solstice Energy,received,2025-10-14
PMT-000176,CUST-0031,2025-10-29,38220.47,GBP,Check,BR-000176,INV-000222,Solstice Energy,received,2025-10-29
PMT-000177,CUST-0031,2026-01-05,38220.47,GBP,Check,BR-000177,INV-000223,Solstice Energy,received,2026-01-05
PMT-000178,CUST-0031,2026-01-09,38220.47,GBP,Wire,BR-000178,INV-000224,Solstice Energy,received,2026-01-09
PMT-000179,CUST-0031,2026-03-06,38220.47,GBP,Card,BR-000179,INV-000225,Solstice Energy,received,2026-03-06
PMT-000180,CUST-0031,2026-03-31,38220.47,GBP,ACH,BR-000180,INV-000226,Solstice Energy,received,2026-03-31
PMT-000181,CUST-0031,2026-05-07,38220.47,GBP,Wire,BR-000181,INV-000228,Solstice Energy,received,2026-05-07
PMT-000182,CUST-0031,2026-06-02,38220.47,GBP,Wire,BR-000182,INV-000229,Solstice Energy,received,2026-06-02
PMT-000183,CUST-0031,2026-06-24,38220.47,GBP,Wire,BR-000183,INV-000230,Solstice Energy,received,2026-06-24
PMT-000184,CUST-0031,2026-02-17,244157.48,GBP,ACH,BR-000184,INV-000232,Solstice Energy,received,2026-02-17
PMT-000185,CUST-0032,2025-11-07,18555.55,EUR,Wire,BR-000185,INV-000234,Ironclad Studios,received,2025-11-07
PMT-000186,CUST-0032,2025-12-25,12473.77,EUR,Card,BR-000186,INV-000235,Ironclad Studios,received,2025-12-25
PMT-000187,CUST-0032,2026-01-03,18555.55,EUR,Wire,BR-000187,INV-000236,Ironclad Studios,received,2026-01-03
PMT-000188,CUST-0032,2026-01-30,16527.78,EUR,Card,BR-000188,INV-000237,Ironclad Studios,received,2026-01-30
PMT-000189,CUST-0032,2026-01-29,16527.78,EUR,Wire,BR-000189,INV-000238,Ironclad Studios,received,2026-01-29
PMT-000190,CUST-0032,2026-03-09,16527.78,EUR,Wire,BR-000190,INV-000239,Ironclad Studios,received,2026-03-09
PMT-000191,CUST-0032,2026-04-09,16527.78,EUR,ACH,BR-000191,INV-000240,Ironclad Studios,received,2026-04-09
PMT-000192,CUST-0032,2026-04-22,16527.78,EUR,Wire,BR-000192,INV-000241,Ironclad Studios,received,2026-04-22
PMT-000193,CUST-0032,2026-05-25,16527.78,EUR,Card,BR-000193,INV-000242,Ironclad Studios,received,2026-05-25
PMT-000194,CUST-0032,2026-06-24,16527.78,EUR,ACH,BR-000194,INV-000243,Ironclad Studios,received,2026-06-24
PMT-000195,CUST-0033,2026-03-15,1579100.0,USD,Wire,BR-000195,INV-000245,Orchard Technologies,received,2026-03-15
PMT-000196,CUST-0033,2025-07-31,450950.0,USD,Check,BR-000196,INV-000246,Orchard Technologies,received,2025-07-31
PMT-000197,CUST-0033,2025-08-11,450950.0,USD,Card,BR-000197,INV-000247,Orchard Technologies,received,2025-08-11
PMT-000198,CUST-0033,2025-11-06,215933.33,USD,Check,BR-000198,INV-000248,Orchard Technologies,received,2025-11-06
PMT-000199,CUST-0033,2025-12-21,215933.33,USD,Wire,BR-000199,INV-000249,Orchard Technologies,received,2025-12-21
PMT-000200,CUST-0033,2025-12-31,215933.33,USD,Card,BR-000200,INV-000250,Orchard Technologies,received,2025-12-31
PMT-000201,CUST-0033,2026-02-03,215933.33,USD,Card,BR-000201,INV-000251,Orchard Technologies,received,2026-02-03
PMT-000202,CUST-0033,2026-03-05,215933.33,USD,ACH,BR-000202,INV-000252,Orchard Technologies,received,2026-03-05
PMT-000203,CUST-0033,2026-03-17,189924.68,USD,ACH,BR-000203,INV-000253,Orchard Technologies,received,2026-03-17
PMT-000204,CUST-0033,2026-04-29,215933.33,USD,Wire,BR-000204,INV-000254,Orchard Technologies,received,2026-04-29
PMT-000205,CUST-0033,2026-05-21,215933.33,USD,Wire,BR-000205,INV-000255,Orchard Technologies,received,2026-05-21
PMT-000206,CUST-0033,2026-06-30,215933.33,USD,Card,BR-000206,INV-000256,Orchard Technologies,received,2026-06-30
PMT-000207,CUST-0034,2026-06-25,694.44,EUR,ACH,BR-000207,INV-000260,Sterling Capital,received,2026-06-25
PMT-000208,CUST-0034,2026-06-30,694.44,EUR,ACH,BR-000208,INV-000261,Sterling Capital,received,2026-06-30
PMT-000209,CUST-0034,2026-06-30,694.44,EUR,Card,BR-000209,INV-000262,Sterling Capital,received,2026-06-30
PMT-000210,CUST-0034,2026-06-30,694.44,EUR,Wire,BR-000210,INV-000263,Sterling Capital,received,2026-06-30
PMT-000211,CUST-0035,2026-05-31,3900.0,USD,Wire,BR-000211,INV-000264,Tideline Analytics,received,2026-05-31
PMT-000212,CUST-0036,2025-11-23,7824.07,EUR,Wire,BR-000212,INV-000266,Northwind Systems,received,2025-11-23
PMT-000213,CUST-0036,2025-12-13,7824.07,EUR,Wire,BR-000213,INV-000267,Northwind Systems,received,2025-12-13
PMT-000214,CUST-0036,2026-01-13,7824.07,EUR,ACH,BR-000214,INV-000268,Northwind Systems,received,2026-01-13
PMT-000215,CUST-0036,2026-01-31,7824.07,EUR,Wire,BR-000215,INV-000269,Northwind Systems,received,2026-01-31
PMT-000216,CUST-0036,2026-03-22,7824.07,EUR,ACH,BR-000216,INV-000270,Northwind Systems,received,2026-03-22
PMT-000217,CUST-0036,2026-03-29,6176.04,EUR,Wire,BR-000217,INV-000271,Northwind Systems,received,2026-03-29
PMT-000218,CUST-0036,2026-04-09,7824.07,EUR,Wire,BR-000218,INV-000272,Northwind Systems,received,2026-04-09
PMT-000219,CUST-0036,2026-06-15,7824.07,EUR,Card,BR-000219,INV-000273,Northwind Systems,received,2026-06-15
PMT-000220,CUST-0036,2026-06-25,7824.07,EUR,Card,BR-000220,INV-000274,Northwind Systems,received,2026-06-25
PMT-000221,CUST-0036,2025-12-16,7797.53,EUR,Wire,BR-000221,INV-000276,Northwind Systems,received,2025-12-16
