period,customer_id,contract_id,legal_entity,currency,opening_deferred_revenue,billings,recognized_revenue,adjustments,fx_impact,closing_deferred_revenue
2025-03,CUST-0013,CTR-00039,Acme EU GmbH,EUR,0.0,2731.48,2731.48,0.0,0.0,0.0
2025-04,CUST-0013,CTR-00039,Acme EU GmbH,EUR,0.0,2731.48,2731.48,0.0,0.0,0.0
2025-05,CUST-0013,CTR-00039,Acme EU GmbH,EUR,0.0,2731.48,2731.48,0.0,0.0,0.0
2025-06,CUST-0013,CTR-00039,Acme EU GmbH,EUR,0.0,2731.48,2731.48,0.0,0.0,0.0
2025-07,CUST-0013,CTR-00039,Acme EU GmbH,EUR,0.0,2731.48,2731.48,0.0,0.0,0.0
2025-08,CUST-0013,CTR-00039,Acme EU GmbH,EUR,0.0,2731.48,2731.48,0.0,0.0,0.0
2025-09,CUST-0013,CTR-00039,Acme EU GmbH,EUR,0.0,2731.48,2731.48,0.0,0.0,0.0
2025-10,CUST-0013,CTR-00039,Acme EU GmbH,EUR,0.0,2731.48,2731.48,0.0,0.0,0.0
2025-11,CUST-0013,CTR-00039,Acme EU GmbH,EUR,0.0,2731.48,2731.48,0.0,0.0,0.0
2025-12,CUST-0013,CTR-00039,Acme EU GmbH,EUR,0.0,2731.48,2731.48,0.0,0.0,0.0
2026-01,CUST-0013,CTR-00039,Acme EU GmbH,EUR,0.0,2731.48,2731.48,0.0,0.0,0.0
2026-02,CUST-0013,CTR-00039,Acme EU GmbH,EUR,0.0,2731.48,2731.48,0.0,0.0,0.0
2026-03,CUST-0013,CTR-00039,Acme EU GmbH,EUR,0.0,2731.48,2731.48,0.0,0.0,0.0
2026-04,CUST-0013,CTR-00039,Acme EU GmbH,EUR,0.0,2731.48,2731.48,0.0,0.0,0.0
2026-05,CUST-0013,CTR-00039,Acme EU GmbH,EUR,0.0,2731.48,2731.48,0.0,0.0,0.0
2026-02,CUST-0013,CTR-00040,Acme EU GmbH,EUR,0.0,2854.94,2854.94,0.0,0.0,0.0
2026-03,CUST-0013,CTR-00040,Acme EU GmbH,EUR,0.0,2854.94,2854.94,0.0,0.0,0.0
2026-04,CUST-0013,CTR-00040,Acme EU GmbH,EUR,0.0,2854.94,2854.94,0.0,0.0,0.0
2026-05,CUST-0013,CTR-00040,Acme EU GmbH,EUR,0.0,2854.94,2854.94,0.0,0.0,0.0
2025-04,CUST-0014,CTR-00041,Acme US Inc,USD,0.0,13599.75,13599.75,0.0,0.0,0.0
2025-05,CUST-0014,CTR-00041,Acme US Inc,USD,0.0,14312.47,14312.47,0.0,0.0,0.0
2025-06,CUST-0014,CTR-00041,Acme US Inc,USD,0.0,8718.5,8718.5,0.0,0.0,0.0
2025-07,CUST-0014,CTR-00041,Acme US Inc,USD,0.0,14960.75,14960.75,0.0,0.0,0.0
2025-08,CUST-0014,CTR-00041,Acme US Inc,USD,0.0,10693.95,10693.95,0.0,0.0,0.0
2025-09,CUST-0014,CTR-00041,Acme US Inc,USD,0.0,11588.8,11588.8,0.0,0.0,0.0
2025-10,CUST-0014,CTR-00041,Acme US Inc,USD,0.0,9959.97,9959.97,0.0,0.0,0.0
2025-11,CUST-0014,CTR-00041,Acme US Inc,USD,0.0,11320.31,11320.31,0.0,0.0,0.0
2025-12,CUST-0014,CTR-00041,Acme US Inc,USD,0.0,9011.71,9011.71,0.0,0.0,0.0
2026-01,CUST-0014,CTR-00041,Acme US Inc,USD,0.0,14297.76,14297.76,0.0,0.0,0.0
2026-02,CUST-0014,CTR-00041,Acme US Inc,USD,0.0,8900.35,8900.35,0.0,0.0,0.0
2026-03,CUST-0014,CTR-00041,Acme US Inc,USD,0.0,12963.2,12963.2,0.0,0.0,0.0
2026-04,CUST-0014,CTR-00041,Acme US Inc,USD,0.0,13724.67,13724.67,0.0,0.0,0.0
2026-05,CUST-0014,CTR-00041,Acme US Inc,USD,0.0,10400.77,10400.77,0.0,0.0,0.0
2026-02,CUST-0014,CTR-00042,Acme US Inc,USD,0.0,29725.0,9908.33,0.0,0.0,19816.67
2026-03,CUST-0014,CTR-00042,Acme US Inc,USD,19816.67,0.0,9908.33,0.0,0.0,9908.34
2026-04,CUST-0014,CTR-00042,Acme US Inc,USD,9908.34,0.0,9908.33,0.0,0.0,0.01
2026-05,CUST-0014,CTR-00042,Acme US Inc,USD,0.01,29725.0,9908.33,0.0,0.0,19816.68
2025-10,CUST-0015,CTR-00043,Acme US Inc,USD,0.0,140600.0,140600.0,0.0,0.0,0.0
2025-11,CUST-0015,CTR-00043,Acme US Inc,USD,0.0,140600.0,140600.0,0.0,0.0,0.0
2025-04,CUST-0016,CTR-00045,Acme US Inc,USD,0.0,6900.0,6900.0,0.0,0.0,0.0
2025-05,CUST-0016,CTR-00045,Acme US Inc,USD,0.0,6900.0,6900.0,0.0,0.0,0.0
2026-02,CUST-0016,CTR-00046,Acme US Inc,USD,0.0,2533.33,2533.33,0.0,0.0,0.0
2026-03,CUST-0016,CTR-00046,Acme US Inc,USD,0.0,2533.33,2533.33,0.0,0.0,0.0
2026-04,CUST-0016,CTR-00046,Acme US Inc,USD,0.0,2533.33,2533.33,0.0,0.0,0.0
2025-08,CUST-0017,CTR-00048,Acme Brasil Ltda,BRL,0.0,429039.85,429039.85,0.0,0.0,0.0
2025-11,CUST-0017,CTR-00048,Acme Brasil Ltda,BRL,0.0,494523.6,494523.6,0.0,0.0,0.0
2026-02,CUST-0017,CTR-00048,Acme Brasil Ltda,BRL,0.0,547115.41,547115.41,0.0,0.0,0.0
2026-05,CUST-0017,CTR-00048,Acme Brasil Ltda,BRL,0.0,648559.21,648559.21,0.0,0.0,0.0
2025-08,CUST-0017,CTR-00049,Acme Brasil Ltda,BRL,0.0,542250.0,542250.0,0.0,0.0,0.0
2025-09,CUST-0017,CTR-00049,Acme Brasil Ltda,BRL,0.0,542250.0,542250.0,0.0,0.0,0.0
2025-10,CUST-0018,CTR-00050,Acme US Inc,USD,0.0,684250.0,228083.33,0.0,0.0,456166.67
2025-11,CUST-0018,CTR-00050,Acme US Inc,USD,456166.67,0.0,228083.33,0.0,0.0,228083.34
2025-12,CUST-0018,CTR-00050,Acme US Inc,USD,228083.34,0.0,228083.33,0.0,0.0,0.01
2026-01,CUST-0018,CTR-00050,Acme US Inc,USD,0.01,684250.0,228083.33,0.0,0.0,456166.68
2026-02,CUST-0018,CTR-00050,Acme US Inc,USD,456166.68,0.0,228083.33,0.0,0.0,228083.35
2026-03,CUST-0018,CTR-00050,Acme US Inc,USD,228083.35,0.0,228083.33,0.0,0.0,0.02
2026-04,CUST-0018,CTR-00050,Acme US Inc,USD,0.02,684250.0,228083.33,0.0,0.0,456166.69
2026-05,CUST-0018,CTR-00050,Acme US Inc,USD,456166.69,0.0,228083.33,0.0,0.0,228083.36
2025-03,CUST-0018,CTR-00052,Acme US Inc,USD,0.0,628100.0,209366.67,0.0,0.0,418733.33
2025-04,CUST-0018,CTR-00052,Acme US Inc,USD,418733.33,0.0,209366.67,0.0,0.0,209366.66
2025-05,CUST-0018,CTR-00052,Acme US Inc,USD,209366.66,0.0,209366.67,0.0,0.0,-0.01
2025-06,CUST-0018,CTR-00052,Acme US Inc,USD,-0.01,628100.0,209366.67,0.0,0.0,418733.32
2025-07,CUST-0018,CTR-00052,Acme US Inc,USD,418733.32,0.0,209366.67,0.0,0.0,209366.65
2025-08,CUST-0018,CTR-00052,Acme US Inc,USD,209366.65,0.0,209366.67,0.0,0.0,-0.02
2025-09,CUST-0018,CTR-00052,Acme US Inc,USD,-0.02,628100.0,209366.67,0.0,0.0,418733.31
2025-10,CUST-0018,CTR-00052,Acme US Inc,USD,418733.31,0.0,209366.67,0.0,0.0,209366.64
2025-11,CUST-0018,CTR-00052,Acme US Inc,USD,209366.64,0.0,209366.67,0.0,0.0,-0.03
2025-12,CUST-0018,CTR-00052,Acme US Inc,USD,-0.03,628100.0,209366.67,0.0,0.0,418733.3
2026-01,CUST-0018,CTR-00052,Acme US Inc,USD,418733.3,0.0,209366.67,0.0,0.0,209366.63
2026-02,CUST-0018,CTR-00052,Acme US Inc,USD,209366.63,0.0,209366.67,0.0,0.0,-0.04
2026-03,CUST-0018,CTR-00052,Acme US Inc,USD,-0.04,628100.0,209366.67,0.0,0.0,418733.29
2026-04,CUST-0018,CTR-00052,Acme US Inc,USD,418733.29,0.0,209366.67,0.0,0.0,209366.62
2026-05,CUST-0018,CTR-00052,Acme US Inc,USD,209366.62,0.0,209366.67,0.0,0.0,-0.05
2025-08,CUST-0020,CTR-00055,Acme US Inc,USD,0.0,1700.22,1700.22,0.0,0.0,0.0
2025-09,CUST-0020,CTR-00055,Acme US Inc,USD,0.0,2498.92,2498.92,0.0,0.0,0.0
2025-10,CUST-0020,CTR-00055,Acme US Inc,USD,0.0,1992.89,1992.89,0.0,0.0,0.0
2025-11,CUST-0020,CTR-00055,Acme US Inc,USD,0.0,1595.18,1595.18,0.0,0.0,0.0
2025-12,CUST-0020,CTR-00055,Acme US Inc,USD,0.0,2555.83,2555.83,0.0,0.0,0.0
2026-01,CUST-0020,CTR-00055,Acme US Inc,USD,0.0,2117.34,2117.34,0.0,0.0,0.0
2026-02,CUST-0020,CTR-00055,Acme US Inc,USD,0.0,1935.29,1935.29,0.0,0.0,0.0
2026-03,CUST-0020,CTR-00055,Acme US Inc,USD,0.0,1428.13,1428.13,0.0,0.0,0.0
2026-04,CUST-0020,CTR-00055,Acme US Inc,USD,0.0,1467.08,1467.08,0.0,0.0,0.0
2026-05,CUST-0020,CTR-00055,Acme US Inc,USD,0.0,1460.25,1460.25,0.0,0.0,0.0
2025-08,CUST-0020,CTR-00056,Acme US Inc,USD,0.0,916.67,916.67,0.0,0.0,0.0
2025-09,CUST-0020,CTR-00056,Acme US Inc,USD,0.0,916.67,916.67,0.0,0.0,0.0
2025-10,CUST-0020,CTR-00056,Acme US Inc,USD,0.0,916.67,916.67,0.0,0.0,0.0
2025-11,CUST-0020,CTR-00056,Acme US Inc,USD,0.0,916.67,916.67,0.0,0.0,0.0
2025-12,CUST-0020,CTR-00056,Acme US Inc,USD,0.0,916.67,916.67,0.0,0.0,0.0
2026-01,CUST-0020,CTR-00056,Acme US Inc,USD,0.0,916.67,916.67,0.0,0.0,0.0
2026-02,CUST-0020,CTR-00056,Acme US Inc,USD,0.0,916.67,916.67,0.0,0.0,0.0
2026-03,CUST-0020,CTR-00056,Acme US Inc,USD,0.0,916.67,916.67,0.0,0.0,0.0
2026-04,CUST-0020,CTR-00056,Acme US Inc,USD,0.0,916.67,916.67,0.0,0.0,0.0
2026-05,CUST-0020,CTR-00056,Acme US Inc,USD,0.0,916.67,916.67,0.0,0.0,0.0
2025-11,CUST-0021,CTR-00058,Acme US Inc,USD,0.0,108300.0,108300.0,0.0,0.0,0.0
2025-08,CUST-0021,CTR-00059,Acme US Inc,USD,0.0,25300.0,25300.0,0.0,0.0,0.0
2025-09,CUST-0022,CTR-00060,Acme Brasil Ltda,BRL,0.0,135500.0,135500.0,0.0,0.0,0.0
2026-03,CUST-0023,CTR-00061,Acme US Inc,USD,0.0,41175.0,41175.0,0.0,0.0,0.0
2026-04,CUST-0023,CTR-00061,Acme US Inc,USD,0.0,41175.0,41175.0,0.0,0.0,0.0
2026-05,CUST-0023,CTR-00061,Acme US Inc,USD,0.0,41175.0,41175.0,0.0,0.0,0.0
2026-02,CUST-0023,CTR-00062,Acme US Inc,USD,0.0,84100.0,84100.0,0.0,0.0,0.0
2026-03,CUST-0023,CTR-00062,Acme US Inc,USD,0.0,84100.0,84100.0,0.0,0.0,0.0
2025-07,CUST-0023,CTR-00063,Acme US Inc,USD,0.0,277400.0,277400.0,0.0,0.0,0.0
2026-04,CUST-0025,CTR-00066,Acme EU GmbH,EUR,0.0,36898.15,36898.15,0.0,0.0,0.0
2026-05,CUST-0025,CTR-00066,Acme EU GmbH,EUR,0.0,36898.15,36898.15,0.0,0.0,0.0
2025-03,CUST-0025,CTR-00067,Acme EU GmbH,EUR,0.0,35532.41,11844.14,0.0,0.0,23688.27
2025-04,CUST-0025,CTR-00067,Acme EU GmbH,EUR,23688.27,0.0,11844.14,0.0,0.0,11844.13
2025-05,CUST-0025,CTR-00067,Acme EU GmbH,EUR,11844.13,0.0,11844.14,0.0,0.0,-0.01
2025-06,CUST-0025,CTR-00067,Acme EU GmbH,EUR,-0.01,35532.41,11844.14,0.0,0.0,23688.26
2025-07,CUST-0025,CTR-00067,Acme EU GmbH,EUR,23688.26,0.0,11844.14,0.0,0.0,11844.12
2025-08,CUST-0025,CTR-00067,Acme EU GmbH,EUR,11844.12,0.0,11844.14,0.0,0.0,-0.02
2025-09,CUST-0025,CTR-00067,Acme EU GmbH,EUR,-0.02,35532.41,11844.14,0.0,0.0,23688.25
2025-10,CUST-0025,CTR-00067,Acme EU GmbH,EUR,23688.25,0.0,11844.14,0.0,0.0,11844.11
2025-11,CUST-0025,CTR-00067,Acme EU GmbH,EUR,11844.11,0.0,11844.14,0.0,0.0,-0.03
2025-12,CUST-0025,CTR-00067,Acme EU GmbH,EUR,-0.03,35532.41,11844.14,0.0,0.0,23688.24
2026-01,CUST-0025,CTR-00067,Acme EU GmbH,EUR,23688.24,0.0,11844.14,0.0,0.0,11844.1
2026-02,CUST-0025,CTR-00067,Acme EU GmbH,EUR,11844.1,0.0,11844.14,0.0,0.0,-0.04
2026-03,CUST-0025,CTR-00067,Acme EU GmbH,EUR,-0.04,35532.41,11844.14,0.0,0.0,23688.23
2026-04,CUST-0025,CTR-00067,Acme EU GmbH,EUR,23688.23,0.0,11844.14,0.0,0.0,11844.09
2026-05,CUST-0025,CTR-00067,Acme EU GmbH,EUR,11844.09,0.0,11844.14,0.0,0.0,-0.05
2026-03,CUST-0026,CTR-00068,Acme US Inc,USD,0.0,1023100.0,1023100.0,0.0,0.0,0.0
2025-06,CUST-0026,CTR-00069,Acme US Inc,USD,0.0,1238600.0,1238600.0,0.0,0.0,0.0
2025-07,CUST-0026,CTR-00069,Acme US Inc,USD,0.0,1238600.0,1238600.0,0.0,0.0,0.0
2026-01,CUST-0027,CTR-00071,Acme US Inc,USD,0.0,12800.0,12800.0,0.0,0.0,0.0
2026-02,CUST-0028,CTR-00073,Acme US Inc,USD,0.0,67675.0,22558.33,0.0,0.0,45116.67
2026-03,CUST-0028,CTR-00073,Acme US Inc,USD,45116.67,0.0,22558.33,0.0,0.0,22558.34
2026-04,CUST-0028,CTR-00073,Acme US Inc,USD,22558.34,0.0,22558.33,0.0,0.0,0.01
2026-05,CUST-0028,CTR-00073,Acme US Inc,USD,0.01,67675.0,22558.33,0.0,0.0,45116.68
2025-05,CUST-0028,CTR-00074,Acme US Inc,USD,0.0,32232.68,32232.68,0.0,0.0,0.0
2025-06,CUST-0028,CTR-00074,Acme US Inc,USD,0.0,36981.02,36981.02,0.0,0.0,0.0
2025-07,CUST-0028,CTR-00074,Acme US Inc,USD,0.0,22289.49,22289.49,0.0,0.0,0.0
2025-08,CUST-0028,CTR-00074,Acme US Inc,USD,0.0,36614.08,36614.08,0.0,0.0,0.0
2025-09,CUST-0028,CTR-00074,Acme US Inc,USD,0.0,36533.39,36533.39,0.0,0.0,0.0
2025-10,CUST-0028,CTR-00074,Acme US Inc,USD,0.0,31896.51,31896.51,0.0,0.0,0.0
2025-11,CUST-0028,CTR-00074,Acme US Inc,USD,0.0,34979.57,34979.57,0.0,0.0,0.0
2025-12,CUST-0028,CTR-00074,Acme US Inc,USD,0.0,31433.95,31433.95,0.0,0.0,0.0
2026-01,CUST-0028,CTR-00074,Acme US Inc,USD,0.0,38370.25,38370.25,0.0,0.0,0.0
2026-02,CUST-0028,CTR-00074,Acme US Inc,USD,0.0,26815.96,26815.96,0.0,0.0,0.0
2026-03,CUST-0028,CTR-00074,Acme US Inc,USD,0.0,22435.98,22435.98,0.0,0.0,0.0
2026-04,CUST-0028,CTR-00074,Acme US Inc,USD,0.0,36150.84,36150.84,0.0,0.0,0.0
2026-05,CUST-0028,CTR-00074,Acme US Inc,USD,0.0,28447.81,28447.81,0.0,0.0,0.0
2026-04,CUST-0029,CTR-00075,Acme Mexico SA,MXN,0.0,2418965.52,201580.46,0.0,0.0,2217385.06
2026-05,CUST-0029,CTR-00075,Acme Mexico SA,MXN,2217385.06,0.0,201580.46,0.0,0.0,2015804.6
2026-02,CUST-0029,CTR-00077,Acme Mexico SA,MXN,0.0,227239.24,227239.24,0.0,0.0,0.0
2026-05,CUST-0029,CTR-00077,Acme Mexico SA,MXN,0.0,221378.21,221378.21,0.0,0.0,0.0
2026-01,CUST-0029,CTR-00078,Acme Mexico SA,MXN,0.0,1634482.76,1634482.76,0.0,0.0,0.0
2025-12,CUST-0030,CTR-00079,Acme US Inc,USD,0.0,416475.0,138825.0,0.0,0.0,277650.0
2026-01,CUST-0030,CTR-00079,Acme US Inc,USD,277650.0,0.0,138825.0,0.0,0.0,138825.0
2026-02,CUST-0030,CTR-00079,Acme US Inc,USD,138825.0,0.0,138825.0,0.0,0.0,0.0
2026-03,CUST-0030,CTR-00079,Acme US Inc,USD,0.0,416475.0,138825.0,0.0,0.0,277650.0
2026-04,CUST-0030,CTR-00079,Acme US Inc,USD,277650.0,0.0,138825.0,0.0,0.0,138825.0
2026-05,CUST-0030,CTR-00079,Acme US Inc,USD,138825.0,0.0,138825.0,0.0,0.0,0.0
2025-06,CUST-0030,CTR-00080,Acme US Inc,USD,0.0,669100.99,669100.99,0.0,0.0,0.0
2025-09,CUST-0030,CTR-00080,Acme US Inc,USD,0.0,463909.96,463909.96,0.0,0.0,0.0
2025-12,CUST-0030,CTR-00080,Acme US Inc,USD,0.0,538659.51,538659.51,0.0,0.0,0.0
2026-03,CUST-0030,CTR-00080,Acme US Inc,USD,0.0,449777.22,449777.22,0.0,0.0,0.0
2025-03,CUST-0031,CTR-00083,Acme UK Ltd,GBP,0.0,44282.91,44282.91,0.0,0.0,0.0
2025-04,CUST-0031,CTR-00083,Acme UK Ltd,GBP,0.0,59722.93,59722.93,0.0,0.0,0.0
2025-05,CUST-0031,CTR-00083,Acme UK Ltd,GBP,0.0,49721.83,49721.83,0.0,0.0,0.0
2025-06,CUST-0031,CTR-00083,Acme UK Ltd,GBP,0.0,34839.47,34839.47,0.0,0.0,0.0
2025-07,CUST-0031,CTR-00083,Acme UK Ltd,GBP,0.0,46620.31,46620.31,0.0,0.0,0.0
2025-08,CUST-0031,CTR-00083,Acme UK Ltd,GBP,0.0,60671.78,60671.78,0.0,0.0,0.0
2025-09,CUST-0031,CTR-00083,Acme UK Ltd,GBP,0.0,46377.88,46377.88,0.0,0.0,0.0
2025-10,CUST-0031,CTR-00083,Acme UK Ltd,GBP,0.0,45133.19,45133.19,0.0,0.0,0.0
2025-11,CUST-0031,CTR-00083,Acme UK Ltd,GBP,0.0,63722.44,63722.44,0.0,0.0,0.0
2025-12,CUST-0031,CTR-00083,Acme UK Ltd,GBP,0.0,55029.05,55029.05,0.0,0.0,0.0
2026-01,CUST-0031,CTR-00083,Acme UK Ltd,GBP,0.0,53841.99,53841.99,0.0,0.0,0.0
2026-02,CUST-0031,CTR-00083,Acme UK Ltd,GBP,0.0,34909.04,34909.04,0.0,0.0,0.0
2026-03,CUST-0031,CTR-00083,Acme UK Ltd,GBP,0.0,37285.44,37285.44,0.0,0.0,0.0
2026-04,CUST-0031,CTR-00083,Acme UK Ltd,GBP,0.0,57403.29,57403.29,0.0,0.0,0.0
2026-05,CUST-0031,CTR-00083,Acme UK Ltd,GBP,0.0,59737.83,59737.83,0.0,0.0,0.0
2025-11,CUST-0031,CTR-00084,Acme UK Ltd,GBP,0.0,88937.01,88937.01,0.0,0.0,0.0
2025-12,CUST-0031,CTR-00084,Acme UK Ltd,GBP,0.0,88937.01,88937.01,0.0,0.0,0.0
2025-08,CUST-0031,CTR-00085,Acme UK Ltd,GBP,0.0,31850.39,31850.39,0.0,0.0,0.0
2025-09,CUST-0031,CTR-00085,Acme UK Ltd,GBP,0.0,31850.39,31850.39,0.0,0.0,0.0
2025-10,CUST-0031,CTR-00085,Acme UK Ltd,GBP,0.0,31850.39,31850.39,0.0,0.0,0.0
2025-11,CUST-0031,CTR-00085,Acme UK Ltd,GBP,0.0,31850.39,31850.39,0.0,0.0,0.0
2025-12,CUST-0031,CTR-00085,Acme UK Ltd,GBP,0.0,31850.39,31850.39,0.0,0.0,0.0
2026-01,CUST-0031,CTR-00085,Acme UK Ltd,GBP,0.0,31850.39,31850.39,0.0,0.0,0.0
2026-02,CUST-0031,CTR-00085,Acme UK Ltd,GBP,0.0,31850.39,31850.39,0.0,0.0,0.0
2026-03,CUST-0031,CTR-00085,Acme UK Ltd,GBP,0.0,31850.39,31850.39,0.0,0.0,0.0
2026-04,CUST-0031,CTR-00085,Acme UK Ltd,GBP,0.0,31850.39,31850.39,0.0,0.0,0.0
2026-05,CUST-0031,CTR-00085,Acme UK Ltd,GBP,0.0,31850.39,31850.39,0.0,0.0,0.0
